"participant","date","model number","building","x","y","error"
"0011","2021-09-15 16:57:46 UTC","0","Lynch Station","38","264","142.3938200906205"
"0011","2021-09-15 16:57:46 UTC","0","Harris Hall","386","221","171.0730837975396"
"0011","2021-09-15 16:57:46 UTC","0","Harvey House","572","32","531.500705549861"
"0011","2021-09-15 16:57:46 UTC","0","Golledge Hall","579","202","90.2551937563706"
"0011","2021-09-15 16:57:46 UTC","0","Snow Church","390","64","355.18586683594265"
"0011","2021-09-15 16:57:46 UTC","0","Sauer Center","580","398","395.56794612303963"
"0011","2021-09-15 16:57:46 UTC","0","Tobler Museum","140","53","359.6804137008297"
"0012","2021-09-17 18:32:45 UTC","0","Batty House","24","338","66.06814663663572"
"0012","2021-09-17 18:32:45 UTC","0","Lynch Station","9","170","46.09772228646444"
"0012","2021-09-17 18:32:45 UTC","0","Harris Hall","264","253","55.94640292279746"
"0012","2021-09-17 18:32:45 UTC","0","Harvey House","364","464","73.08214556237385"
"0012","2021-09-17 18:32:45 UTC","0","Sauer Center","594","8","31.144823004794873"
"0012","2021-09-17 18:32:45 UTC","0","Tobler Museum","465","111","30.083217912982647"
"0012","2021-09-17 18:32:45 UTC","0","Snow Church","722","181","24.73863375370596"
"0012","2021-09-17 18:32:45 UTC","0","Golledge Hall","513","289","51.03920062069938"
"0013","2021-09-22 13:58:43 UTC","0","Batty House","16","38","234.2584043316269"
"0013","2021-09-22 13:58:43 UTC","0","Lynch Station","96","32","124.57929201917949"
"0013","2021-09-22 13:58:43 UTC","0","Harris Hall","191","174","57.271284253105414"
"0013","2021-09-22 13:58:43 UTC","0","Harvey House","731","132","561.7632953477826"
"0013","2021-09-22 13:58:43 UTC","0","Golledge Hall","476","400","140.089257261219"
"0013","2021-09-22 13:58:43 UTC","0","Snow Church","315","99","414.77343212891543"
"0013","2021-09-22 13:58:43 UTC","0","Sauer Center","361","477","540.8142009969782"
"0013","2021-09-22 13:58:43 UTC","0","Tobler Museum","598","499","391.348949148966"
"0014","2021-09-23 14:07:23 UTC","0","Batty House","541","35","566.007950474196"
"0014","2021-09-23 14:07:23 UTC","0","Lynch Station","609","124","597.0"
"0014","2021-09-23 14:07:23 UTC","0","Harris Hall","480","264","267.7106647109898"
"0014","2021-09-23 14:07:23 UTC","0","Harvey House","249","43","444.2848185567452"
"0014","2021-09-23 14:07:23 UTC","0","Golledge Hall","29","353","538.5805417948183"
"0014","2021-09-23 14:07:23 UTC","0","Snow Church","191","490","597.3692325521963"
"0014","2021-09-23 14:07:23 UTC","0","Sauer Center","368","437","502.6658930144356"
"0014","2021-09-23 14:07:23 UTC","0","Tobler Museum","354","313","236.22446951998856"
"0015","2021-09-23 16:57:57 UTC","0","Lynch Station","10","312","188.01063799689632"
"0015","2021-09-23 16:57:57 UTC","0","Harvey House","651","359","378.5828839237189"
"0015","2021-09-23 16:57:57 UTC","0","Batty House","32","513","241.05186163977245"
"0015","2021-09-23 16:57:57 UTC","0","Golledge Hall","568","127","164.04877323527901"
"0015","2021-09-23 16:57:57 UTC","0","Harris Hall","216","259","33.015148038438355"
"0015","2021-09-23 16:57:57 UTC","0","Snow Church","219","96","508.8123426175902"
"0015","2021-09-23 16:57:57 UTC","0","Sauer Center","371","164","299.6614756687953"
"0015","2021-09-23 16:57:57 UTC","0","Tobler Museum","14","114","479.06680118747533"
"0016","2021-09-24 13:45:21 UTC","0","Batty House","94","62","220.42912693199145"
"0016","2021-09-24 13:45:21 UTC","0","Lynch Station","230","11","245.54632964066067"
"0016","2021-09-24 13:45:21 UTC","0","Harris Hall","344","168","141.4390328021229"
"0016","2021-09-24 13:45:21 UTC","0","Golledge Hall","599","288","35.12833614050059"
"0016","2021-09-24 13:45:21 UTC","0","Tobler Museum","627","409","316.7412192942371"
"0016","2021-09-24 13:45:21 UTC","0","Sauer Center","384","452","507.8287112796991"
"0016","2021-09-24 13:45:21 UTC","0","Snow Church","423","292","305.6435832796102"
"0016","2021-09-24 13:45:21 UTC","0","Harvey House","539","170","399.06139878469827"
"0017","2021-09-24 20:19:55 UTC","0","Lynch Station","58","345","225.73657213663896"
"0017","2021-09-24 20:19:55 UTC","0","Batty House","239","483","299.1070042643602"
"0017","2021-09-24 20:19:55 UTC","0","Harris Hall","332","308","142.87407042567241"
"0017","2021-09-24 20:19:55 UTC","0","Harvey House","478","416","196.51208614230322"
"0017","2021-09-24 20:19:55 UTC","0","Snow Church","697","77","129.40247292845683"
"0017","2021-09-24 20:19:55 UTC","0","Golledge Hall","575","190","101.59724405711013"
"0017","2021-09-24 20:19:55 UTC","0","Sauer Center","549","26","78.84795495128583"
"0017","2021-09-24 20:19:55 UTC","0","Tobler Museum","382","97","113.78049041905207"
"0019","2021-09-29 17:13:22 UTC","0","Golledge Hall","405","71","271.44244325455077"
"0019","2021-09-29 17:13:22 UTC","0","Snow Church","484","226","232.94849216082082"
"0019","2021-09-29 17:13:22 UTC","0","Sauer Center","648","229","225.17770760001977"
"0019","2021-09-29 17:13:22 UTC","0","Tobler Museum","374","377","281.40007107319644"
"0019","2021-09-29 17:13:22 UTC","0","Harvey House","212","350","157.95252451290546"
"0019","2021-09-29 17:13:22 UTC","0","Harris Hall","128","195","92.35799911215054"
"0019","2021-09-29 17:13:22 UTC","0","Lynch Station","55","18","114.38968484964018"
"0019","2021-09-29 17:13:22 UTC","0","Batty House","11","7","265.48257946614876"
"0020","2021-09-30 19:53:38 UTC","0","Golledge Hall","616","294","52.08646657242167"
"0020","2021-09-30 19:53:38 UTC","0","Snow Church","487","47","278.21754078418564"
"0020","2021-09-30 19:53:38 UTC","0","Sauer Center","205","66","424.4066446228193"
"0020","2021-09-30 19:53:38 UTC","0","Tobler Museum","259","320","306.52895458667524"
"0020","2021-09-30 19:53:38 UTC","0","Harvey House","604","454","311.5461442547476"
"0020","2021-09-30 19:53:38 UTC","0","Lynch Station","67","438","318.7804887379402"
"0020","2021-09-30 19:53:38 UTC","0","Batty House","8","485","213.84573879317773"
"0020","2021-09-30 19:53:38 UTC","0","Harris Hall","251","491","267.4341040331244"
"0022","2021-10-04 14:14:07 UTC","0","Golledge Hall","440","185","163.1318485152424"
"0022","2021-10-04 14:14:07 UTC","0","Harvey House","202","308","199.4818287463798"
"0022","2021-10-04 14:14:07 UTC","0","Harris Hall","279","114","128.9961239727768"
"0022","2021-10-04 14:14:07 UTC","0","Snow Church","169","173","547.9352151486524"
"0022","2021-10-04 14:14:07 UTC","0","Lynch Station","25","394","270.31278179176064"
"0022","2021-10-04 14:14:07 UTC","0","Batty House","401","460","418.59288097147567"
"0022","2021-10-04 14:14:07 UTC","0","Sauer Center","289","455","561.6012820498187"
"0022","2021-10-04 14:14:07 UTC","0","Tobler Museum","636","432","341.39273571650585"
"0023","2021-10-06 15:50:47 UTC","0","Sauer Center","621","245","240.03333101883996"
"0023","2021-10-06 15:50:47 UTC","0","Tobler Museum","381","258","176.1817243643619"
"0023","2021-10-06 15:50:47 UTC","0","Snow Church","665","470","269.8629281690985"
"0023","2021-10-06 15:50:47 UTC","0","Golledge Hall","388","469","250.3197954617253"
"0023","2021-10-06 15:50:47 UTC","0","Harvey House","599","3","570.3937236681344"
"0023","2021-10-06 15:50:47 UTC","0","Lynch Station","11","190","66.007575322837"
"0023","2021-10-06 15:50:47 UTC","0","Harris Hall","297","112","140.42791745233566"
"0023","2021-10-06 15:50:47 UTC","0","Batty House","29","509","237.00843866833097"
"0024","2021-10-07 15:57:14 UTC","0","Tobler Museum","68","38","433.22165227513733"
"0024","2021-10-07 15:57:14 UTC","0","Snow Church","275","32","473.7193261837646"
"0024","2021-10-07 15:57:14 UTC","0","Golledge Hall","457","195","143.75326083258076"
"0024","2021-10-07 15:57:14 UTC","0","Harvey House","682","76","563.7597005817283"
"0024","2021-10-07 15:57:14 UTC","0","Sauer Center","50","207","609.4497518253659"
"0024","2021-10-07 15:57:14 UTC","0","Batty House","606","461","609.0664988324346"
"0024","2021-10-07 15:57:14 UTC","0","Harris Hall","673","308","465.2827097582716"
"0024","2021-10-07 15:57:14 UTC","0","Lynch Station","346","420","446.2869032360237"
"0026","2021-10-13 14:19:38 UTC","0","Golledge Hall","436","345","138.92443989449805"
"0026","2021-10-13 14:19:38 UTC","0","Batty House","91","47","233.92520172054998"
"0026","2021-10-13 14:19:38 UTC","0","Lynch Station","154","67","153.0130713370593"
"0026","2021-10-13 14:19:38 UTC","0","Harris Hall","129","219","86.28441342444185"
"0026","2021-10-13 14:19:38 UTC","0","Harvey House","15","232","376.62979170532964"
"0026","2021-10-13 14:19:38 UTC","0","Snow Church","640","258","92.65527507918802"
"0026","2021-10-13 14:19:38 UTC","0","Sauer Center","560","75","95.524865872714"
"0026","2021-10-13 14:19:38 UTC","0","Tobler Museum","366","129","127.1927670899568"
"0027","2021-10-15 15:47:34 UTC","0","Batty House","31","488","216.03703386225243"
"0027","2021-10-15 15:47:34 UTC","0","Lynch Station","7","163","39.319206502675"
"0027","2021-10-15 15:47:34 UTC","0","Harris Hall","231","173","55.362442142665635"
"0027","2021-10-15 15:47:34 UTC","0","Harvey House","374","284","216.33538776631067"
"0027","2021-10-15 15:47:34 UTC","0","Sauer Center","568","25","60.40695324215582"
"0027","2021-10-15 15:47:34 UTC","0","Golledge Hall","502","221","93.50935782048768"
"0027","2021-10-15 15:47:34 UTC","0","Tobler Museum","377","58","132.48396129343357"
"0027","2021-10-15 15:47:34 UTC","0","Snow Church","673","177","51.31276644267"
"0028","2021-10-15 17:39:37 UTC","0","Tobler Museum","60","454","545.6308275748356"
"0028","2021-10-15 17:39:37 UTC","0","Golledge Hall","320","385","261.48040079516477"
"0028","2021-10-15 17:39:37 UTC","0","Snow Church","208","249","509.9019513592785"
"0028","2021-10-15 17:39:37 UTC","0","Sauer Center","10","259","665.3878568173603"
"0028","2021-10-15 17:39:37 UTC","0","Harvey House","471","249","295.0"
"0028","2021-10-15 17:39:37 UTC","0","Harris Hall","420","59","264.41255643406953"
"0028","2021-10-15 17:39:37 UTC","0","Lynch Station","548","8","548.4086067887703"
"0028","2021-10-15 17:39:37 UTC","0","Batty House","672","165","653.8149585318464"
"0029","2021-10-18 17:58:49 UTC","0","Harvey House","683","16","609.3291392999354"
"0029","2021-10-18 17:58:49 UTC","0","Batty House","686","264","659.0485566329692"
"0029","2021-10-18 17:58:49 UTC","0","Harris Hall","408","135","213.37759957408838"
"0029","2021-10-18 17:58:49 UTC","0","Golledge Hall","231","299","333.09608223454086"
"0029","2021-10-18 17:58:49 UTC","0","Lynch Station","451","246","455.6369168537598"
"0029","2021-10-18 17:58:49 UTC","0","Tobler Museum","291","486","416.293165929973"
"0029","2021-10-18 17:58:49 UTC","0","Sauer Center","88","467","708.387605763963"
"0029","2021-10-18 17:58:49 UTC","0","Snow Church","19","319","706.261283095711"
"0030","2021-10-20 13:49:05 UTC","0","Batty House","15","96","176.40861656959956"
"0030","2021-10-20 13:49:05 UTC","0","Lynch Station","102","43","121.0826164236634"
"0030","2021-10-20 13:49:05 UTC","0","Harris Hall","278","208","65.52098900352466"
"0030","2021-10-20 13:49:05 UTC","0","Snow Church","306","347","433.8939962709786"
"0030","2021-10-20 13:49:05 UTC","0","Golledge Hall","382","448","240.36014644695155"
"0030","2021-10-20 13:49:05 UTC","0","Harvey House","39","379","276.1539425755135"
"0030","2021-10-20 13:49:05 UTC","0","Sauer Center","165","356","578.6199097853444"
"0030","2021-10-20 13:49:05 UTC","0","Tobler Museum","90","481","539.7128866351071"
"0031","2021-10-20 15:52:12 UTC","0","Sauer Center","553","15","72.69112738154499"
"0031","2021-10-20 15:52:12 UTC","0","Golledge Hall","386","207","196.82479518597245"
"0031","2021-10-20 15:52:12 UTC","0","Snow Church","640","217","76.94153624668537"
"0031","2021-10-20 15:52:12 UTC","0","Harvey House","723","481","429.01864761336424"
"0031","2021-10-20 15:52:12 UTC","0","Batty House","11","522","250.51147678300092"
"0031","2021-10-20 15:52:12 UTC","0","Lynch Station","11","335","211.00236965494014"
"0031","2021-10-20 15:52:12 UTC","0","Harris Hall","311","372","174.73408368146153"
"0031","2021-10-20 15:52:12 UTC","0","Tobler Museum","270","53","233.43093196918014"
"0032","2021-10-22 15:44:28 UTC","0","Tobler Museum","281","477","413.48397792417546"
"0032","2021-10-22 15:44:28 UTC","0","Sauer Center","9","465","768.8016649305594"
"0032","2021-10-22 15:44:28 UTC","0","Snow Church","49","346","681.7404198080087"
"0032","2021-10-22 15:44:28 UTC","0","Golledge Hall","244","313","320.7553584899245"
"0032","2021-10-22 15:44:28 UTC","0","Lynch Station","540","9","540.3785710036992"
"0032","2021-10-22 15:44:28 UTC","0","Batty House","407","56","437.09953099951963"
"0032","2021-10-22 15:44:28 UTC","0","Harvey House","483","318","252.21022976873877"
"0032","2021-10-22 15:44:28 UTC","0","Harris Hall","611","229","396.01136347332255"
"0033","2021-10-22 17:31:25 UTC","0","Batty House","235","401","244.7549795203358"
"0033","2021-10-22 17:31:25 UTC","0","Golledge Hall","452","360","131.54847015454038"
"0033","2021-10-22 17:31:25 UTC","0","Tobler Museum","227","76","269.9481431682759"
"0033","2021-10-22 17:31:25 UTC","0","Sauer Center","452","81","188.95766721676048"
"0033","2021-10-22 17:31:25 UTC","0","Snow Church","551","254","172.12204972053988"
"0033","2021-10-22 17:31:25 UTC","0","Lynch Station","72","293","179.3348822733603"
"0033","2021-10-22 17:31:25 UTC","0","Harvey House","30","34","522.5868348896669"
"0033","2021-10-22 17:31:25 UTC","0","Harris Hall","31","186","188.29763673503712"
"0034","2021-10-22 18:54:20 UTC","0","Batty House","172","509","277.8380823429358"
"0034","2021-10-22 18:54:20 UTC","0","Lynch Station","92","341","231.27689032845456"
"0034","2021-10-22 18:54:20 UTC","0","Harris Hall","332","351","171.21331723905124"
"0034","2021-10-22 18:54:20 UTC","0","Sauer Center","671","159","160.72336482291553"
"0034","2021-10-22 18:54:20 UTC","0","Golledge Hall","226","138","371.0161721542607"
"0034","2021-10-22 18:54:20 UTC","0","Snow Church","510","248","210.440015206234"
"0034","2021-10-22 18:54:20 UTC","0","Harvey House","433","17","488.2058991859889"
"0034","2021-10-22 18:54:20 UTC","0","Tobler Museum","653","14","193.03885619221847"
"0035","2021-10-28 15:38:08 UTC","0","Golledge Hall","364","287","200.0399960007998"
"0035","2021-10-28 15:38:08 UTC","0","Tobler Museum","147","114","346.09247319177575"
"0035","2021-10-28 15:38:08 UTC","0","Snow Church","546","186","171.05846953600397"
"0035","2021-10-28 15:38:08 UTC","0","Sauer Center","436","34","191.21192431435858"
"0035","2021-10-28 15:38:08 UTC","0","Lynch Station","105","330","226.01991062736045"
"0035","2021-10-28 15:38:08 UTC","0","Batty House","31","461","189.04232330353963"
"0035","2021-10-28 15:38:08 UTC","0","Harvey House","636","457","343.144284521832"
"0035","2021-10-28 15:38:08 UTC","0","Harris Hall","507","393","336.38222307369335"
"0039","2021-11-03 16:12:32 UTC","0","Golledge Hall","221","24","434.66998976234834"
"0039","2021-11-03 16:12:32 UTC","0","Snow Church","36","125","684.6897107449475"
"0039","2021-11-03 16:12:32 UTC","0","Sauer Center","77","273","610.0229503879342"
"0039","2021-11-03 16:12:32 UTC","0","Tobler Museum","266","184","235.3146829248018"
"0039","2021-11-03 16:12:32 UTC","0","Lynch Station","502","194","494.9747468305833"
"0039","2021-11-03 16:12:32 UTC","0","Batty House","724","240","697.734190075275"
"0039","2021-11-03 16:12:32 UTC","0","Harvey House","443","474","149.40548852033515"
"0039","2021-11-03 16:12:32 UTC","0","Harris Hall","303","378","175.6359872008012"
