"","participant","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","within_route_r2","Compass_condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route"
"1",4,46.1080401450309,27.4408770368617,38.107827384387,0.677732314972441,-35.1157193057612,0.861616427882391,-28.8479302421754,0.670158770594705,-31.3838214066816,0.765887599238548,"No","","No","woman","Batty",324.884280694239,331.152069757825,328.616178593318,"C2"
"2",5,53.6933082879943,5.8153118944116,33.1741669764589,0.849313874197458,-35.2826235175,0.92073783802521,-29.5793627996155,0.749944959714413,-33.2961145037498,0.835341398869812,"Yes","","No","woman","Batty",324.7173764825,330.420637200384,326.70388549625,"C2"
"3",6,40.8408056246535,18.6940378714542,31.3493337304252,0.831187109420769,1.02362616041909,0.618699536967951,20.4081554945194,0.904485746062667,-19.0584766776792,0.761592641515309,"No","","No","man","Golledge",1.02362616041909,20.4081554945194,340.941523322321,"C1"
"4",7,19.9133388834965,4.71469797895554,13.3996356386932,0.963227803979203,-26.8052902328399,0.944017290454309,-32.9862867221862,0.963392552004677,-33.3596437918674,0.953704921229493,"Yes","","No","man","Batty",333.19470976716,327.013713277814,326.640356208133,"C1"
"5",13,73.341799758016,16.9764310169742,49.1852131547124,0.106355320641862,41.7633112300466,0.647203831352624,-38.1395575845686,0.609939400005719,217.30152295516,0.628571615679172,"Yes","","No","man","Batty",41.7633112300466,321.860442415431,217.30152295516,"C1"
"6",14,22.3778756548235,13.495560756602,18.5711692698714,0.875851240332493,136.76603601405,0.921933296926465,137.366070812868,0.877188280200114,98.6166526025135,0.899560788563289,"No","","No","man","Batty",136.76603601405,137.366070812868,98.6166526025135,"C2"
"7",15,54.7738383653006,40.3090731543638,48.5746532748991,0.528904581652717,-56.3970683879604,0.934664884396195,-48.4187773895383,0.0917625024149042,-79.0392700421139,0.51321369340555,"Yes","","No","woman","Batty",303.60293161204,311.581222610462,280.960729957886,"C1"
"8",16,85.0444116160125,11.3165991521049,53.4467777029093,0.301723255685095,53.7288399000355,0.638940738707791,-15.8474561560816,0.910931137661769,208.355234113455,0.77493593818478,"No","","No","man","Batty",53.7288399000355,344.152543843918,208.355234113455,"C2"
"9",17,16.5232893823629,9.19737119060784,13.383610157325,0.950748115512161,-33.4146674660208,0.938559611131453,-43.6678209898393,0.813368524475606,-22.9771736376752,0.87596406780353,"Yes","","No","woman","Golledge",326.585332533979,316.332179010161,337.022826362325,"C2"
"10",19,61.624396528393,56.201177849637,59.3001599517833,0.694518313539834,28.7062566404655,0.801383949024899,21.6894273958565,0.0789162418926669,110.330152615278,0.440150095458783,"Yes","","No","woman","Golledge",28.7062566404655,21.6894273958565,110.330152615278,"C2"
