"participant","between","within","overall_pointing"
4,46.1080401450309,27.4408770368617,38.107827384387
5,53.6933082879943,5.8153118944116,33.1741669764589
6,40.8408056246535,18.6940378714542,31.3493337304252
7,19.9133388834965,4.71469797895554,13.3996356386932
13,73.341799758016,16.9764310169742,49.1852131547124
14,22.3778756548235,13.495560756602,18.5711692698714
15,54.7738383653006,40.3090731543638,48.5746532748991
16,85.0444116160125,11.3165991521049,53.4467777029093
17,16.5232893823629,9.19737119060784,13.383610157325
19,61.624396528393,56.201177849637,59.3001599517833
20,39.4576352708621,45.1435417616102,41.8944523383256
22,74.4736915060876,47.3596884656763,62.8534044887685
23,54.9410387733526,25.7672623549409,42.4379917368904
24,67.4602663871345,26.7746595183111,50.0235777290673
26,17.1006567106566,15.3172587901264,16.3363433161437
28,68.6371031082334,14.0623106099042,45.2479063232352
29,79.1421650716236,6.81573812308943,48.1451249508233
30,62.3539963313033,20.5709011078088,44.4469555212342
31,17.5944219565626,6.10773346610012,12.6715554606501
32,56.2754664813639,15.4517426151754,38.779584824426
33,63.1830529268033,42.8368558152391,54.4632541647043
34,55.8845477442575,31.3904706754029,45.3870861433198
35,59.0876835478234,22.4405056954433,43.3817501825176
39,52.2427258411855,30.3615667288994,42.8650862216343
40,66.5521838320753,45.8228194968147,57.668170545535
41,79.4965014057727,42.0411024840394,63.4441875821727
43,62.151271004506,6.96526612624027,38.5001260566778
44,16.6012549191166,10.7877547052518,14.1097548274603
45,37.0691948214595,9.86030442595616,25.4082417948152
46,59.6321240428796,34.5418779831144,48.8791614458374
47,66.2975011179824,45.3886508269209,57.336565278956
48,14.235965719441,5.78518471342554,10.6142024311487
49,60.635084839351,25.893400949136,45.7457917435446
50,45.4231406219164,14.361115776031,32.1108442593941
51,15.2312647304736,6.48493161977853,11.4828362544614
52,72.3178272361691,58.5708810308605,66.4262788624654
53,52.1628522222305,16.0707535237115,36.6948099228652
54,32.0901456343851,33.5842425178101,32.7304728701387
55,22.025359485448,9.61066296455382,16.7047752622077
56,26.1062054135727,16.5366846212318,22.0049822168552
57,56.6547858517087,23.7744506889803,42.5632136391108
58,75.9517954871475,34.8028964212585,58.3165530303379
59,69.6455569489273,42.0636686414151,57.8247476742792
60,54.5991583744967,16.7980728683209,38.3986931575642
61,78.6734530305349,50.8086669040736,66.73140183348
62,20.5999295229145,7.6842993400879,15.0646594445602
63,59.0628759225155,34.1910061166262,48.4035031485629
64,64.5306090340667,34.631960960681,51.7169027169014
65,69.7392039466771,61.5596682364349,66.2336886422876
66,22.2618608459743,13.9379101655284,18.6944534114975
67,19.9602643810043,7.692973456843,14.7028539849352
68,67.0382285332159,44.4038001012135,57.3377592052149
69,65.4555026835195,71.1315344063347,67.8880877075832
71,21.4848039730065,7.13869370481734,15.3364710009254
72,36.5469188635646,21.1542920672602,29.9500788080056
73,66.8768072921863,43.8412347460528,57.0044190581291
74,41.7949653175316,20.0146966966003,32.4605644799896
75,34.5835354455459,14.3492048180464,25.9116794623318
76,11.3944213391227,7.21223259897744,9.60205473620331
77,20.2667465952625,4.51268093790625,13.5150041706813
