"participant","between","within","correct_absolute_error_other","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","within_route_r2","Condition","First_Building_in_model.building","Pilot","sex"
2008,28.9013515884775,11.2714427895321,114.957016,21.3456763889295,0.723658259985186,-42.9689469236222,0.950553909944764,-33.9957746634865,0.62100985656985,-32.2816517153712,0.785781883257307,"Mountains","Batty House","No","man"
2011,69.1109552778601,12.4486488479968,103.1766455,44.8271096650615,0.469343156435849,214.519640280629,0.272677799360105,214.158256841338,0.908200210259281,-62.4323179250837,0.590439004809693,"Compass","Golledge Hall","No","woman"
2012,33.5418482389546,11.5695604015853,20.756635,24.1251534515106,0.752081292037452,171.456506122322,0.782032689822551,148.764951466776,0.925122535498623,203.755047213815,0.853577612660587,"Mountains","Tobler Museum","No","woman"
2013,45.0564869163559,40.5497627733401,65.781685,43.1250337122063,0.463421652624154,236.282594502035,0.234647522001201,108.135858120177,0.897262949509448,268.625405047069,0.565955235755324,"Compass","Sauer Center","No","woman"
2016,68.5548592819122,43.5802742695709,114.03259625,57.8514657051945,0.446386410620285,-25.7144130369575,0.710336182730488,-52.1467385958733,0.241801889030627,-47.2899928609911,0.476069035880557,"Mountains","Golledge Hall","No","woman"
2017,23.6806382624421,7.12587808873265,10.238385,16.5857410451381,0.80190207110685,97.3429906627443,0.934032025618556,141.385190163628,0.906110510079323,100.612720136793,0.92007126784894,"Compass","Batty House","No","man"
2018,46.9061591112651,25.7433302700178,110.25636375,37.8363753221591,0.82704958900016,162.739681212113,0.762311746421788,174.286633098588,0.864346307991135,177.065144595075,0.813329027206461,"Mountains","Harvey House","No","woman"
2019,25.9278984230065,13.2365401517381,24.70847625,20.4887448781772,0.882168644813976,162.42962075068,0.67622283579714,148.440319903033,0.868951480915937,189.417302445101,0.772587158356538,"Compass","Lynch Station","No","man"
2021,35.2973968569926,13.8750952315246,34.423988,26.1164104460777,0.550333168047852,129.373157236967,0.87312459198684,145.278731133568,0.828095466003593,21.0103902875662,0.850610028995217,"Compass","Batty House","No","woman"
2022,66.670799897166,15.2825597828999,90.69282,44.6472684196234,0.0874284613155521,49.5019611061827,0.712602829098138,-32.5242868330443,0.796899821054428,-19.9888279141452,0.754751325076283,"Mountains","Tobler Museum","No","man"
2023,87.7618675810897,96.236411467678,106.56594875,91.3938149610561,0.381383871621692,26.5929948709703,0.210110796276101,46.0510894488586,0.172193629359004,91.4893716236047,0.191152212817553,"Compass","Golledge Hall","No","woman"
2024,53.4440794374616,28.4553419603233,71.827535,42.7346205186881,0.0668504187393015,67.5301892305566,0.500873667953413,-29.8631565332597,0.897999510379657,165.34910281682,0.699436589166535,"Mountains","Golledge Hall","No","woman"
2025,5.76997089938436,4.74050454045756,8.404511825,5.32877103127287,0.859510454007949,124.669319274466,0.920716650961439,138.001851829638,0.87972874182673,89.3370362288369,0.900222696394084,"Compass","Lynch Station","No","man"
2026,64.800994165809,30.3425263971896,108.2366175,50.0330794078293,0.383367188204422,52.043626998448,0.336407909108231,-16.6262944248234,0.197953659543763,174.692083552297,0.267180784325997,"Mountains","Batty House","No","woman"
2028,40.3010352670738,23.2154627525336,92.96082875,32.9786470465566,0.414108700413117,118.534246193067,0.485892298388067,141.511077533817,0.777339749207879,184.575053872504,0.631616023797973,"Mountains","Golledge Hall","No","woman"
2029,48.3986190306628,20.2586470414429,29.94780625,36.3386310352828,0.721767120707608,-29.1634994193636,0.974781614968413,-40.2417256817553,0.388447880376612,3.77068714461166,0.681614747672513,"Compass","Batty House","No","man"
2030,53.5080749860921,17.7090647462721,45.66660625,38.1656420261692,0.389509361499536,139.937996161316,0.601250094079537,65.6336231335952,0.775991590302397,182.604827221947,0.688620842190967,"Mountains","Batty House","No","man"
2031,57.5903400164612,41.471564103399,59.090975,50.6822931965774,0.261397714962195,71.668918984608,0.646593654464973,18.5101778120815,0.0663996059717455,45.2732319241685,0.356496630218359,"Compass","Batty House","No","woman"
2033,93.449599860095,61.1191777047817,103.258308375,79.593704650675,0.0541463223276729,164.520545069133,0.136082015928465,235.493691088271,0.150827382465843,153.995470864308,0.143454699197154,"Compass","Golledge Hall","No","woman"
2034,71.151511355775,43.1157956356345,54.43646625,59.1362046185719,0.205380838863246,59.4572273276681,0.775478872634606,1.13810475023169,0.832142805765117,27.7639097632891,0.803810839199862,"Mountains","Batty House","No","woman"
