"","participant","know_how_use","experienced","easy_use","use_north_daily"
"participant",1,0.0517832242426373,-0.0323367531240223,-0.0553556518610794,-0.122415238421733
"know_how_use",0.0517832242426373,1,0.693492092859008,0.691141412397872,0.165934436029681
"experienced",-0.0323367531240223,0.693492092859008,1,0.736203315615568,0.249343204026641
"easy_use",-0.0553556518610794,0.691141412397872,0.736203315615568,1,0.34657503184062
"use_north_daily",-0.122415238421733,0.165934436029681,0.249343204026641,0.34657503184062,1
