"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","group","SBSOD_avg"
"1",4,1,1,1,46.1080401450309,27.4408770368617,38.107827384387,0.677732314972441,-35.1157193057612,0.861616427882391,-28.8479302421754,0.670158770594705,-31.3838214066816,"No","","No","female","Batty",324.884280694239,331.152069757825,328.616178593318,"C2",NA,"Control","Exp1","No","Control",4.33333333333333
"2",5,2,2,2,53.6933082879943,5.8153118944116,33.1741669764589,0.849313874197458,-35.2826235175,0.92073783802521,-29.5793627996155,0.749944959714413,-33.2961145037498,"Yes","","No","female","Batty",324.7173764825,330.420637200384,326.70388549625,"C2",NA,"Compass","Exp1","No","Experiment",2.53333333333333
"3",6,3,3,3,40.8408056246535,18.6940378714542,31.3493337304252,0.831187109420769,1.02362616041909,0.618699536967951,20.4081554945194,0.904485746062667,-19.0584766776792,"No","","No","male","Golledge",1.02362616041909,20.4081554945194,340.941523322321,"C1",NA,"Control","Exp1","Yes","Control",3.46666666666667
"4",7,4,4,4,19.9133388834965,4.71469797895554,13.3996356386932,0.963227803979203,-26.8052902328399,0.944017290454309,-32.9862867221862,0.963392552004677,-33.3596437918674,"Yes","","No","male","Batty",333.19470976716,327.013713277814,326.640356208133,"C1",NA,"Compass","Exp1","Yes","Experiment",2.4
"5",13,5,5,5,73.341799758016,16.9764310169742,49.1852131547124,0.106355320641862,41.7633112300466,0.647203831352624,-38.1395575845686,0.609939400005719,217.30152295516,"Yes","","No","male","Batty",41.7633112300466,321.860442415431,217.30152295516,"C1",NA,"Compass","Exp1","No","Experiment",4.6
"6",14,6,6,6,22.3778756548235,13.495560756602,18.5711692698714,0.875851240332493,136.76603601405,0.921933296926465,137.366070812868,0.877188280200114,98.6166526025135,"No","","No","male","Batty",136.76603601405,137.366070812868,98.6166526025135,"C2",NA,"Control","Exp1","No","Control",3.13333333333333
"7",15,7,7,7,54.7738383653006,40.3090731543638,48.5746532748991,0.528904581652717,-56.3970683879604,0.934664884396195,-48.4187773895383,0.0917625024149042,-79.0392700421139,"Yes","","No","female","Batty",303.60293161204,311.581222610462,280.960729957886,"C1",NA,"Compass","Exp1","No","Experiment",2.86666666666667
"8",16,8,8,8,85.0444116160125,11.3165991521049,53.4467777029093,0.301723255685095,53.7288399000355,0.638940738707791,-15.8474561560816,0.910931137661769,208.355234113455,"No","","No","male","Batty",53.7288399000355,344.152543843918,208.355234113455,"C2",NA,"Control","Exp1","No","Control",3.06666666666667
"9",17,9,9,9,16.5232893823629,9.19737119060784,13.383610157325,0.950748115512161,-33.4146674660208,0.938559611131453,-43.6678209898393,0.813368524475606,-22.9771736376752,"Yes","","No","female","Golledge",326.585332533979,316.332179010161,337.022826362325,"C2",NA,"Compass","Exp1","No","Experiment",2.93333333333333
"10",19,10,10,10,61.624396528393,56.201177849637,59.3001599517833,0.694518313539834,28.7062566404655,0.801383949024899,21.6894273958565,0.0789162418926669,110.330152615278,"Yes","","No","female","Golledge",28.7062566404655,21.6894273958565,110.330152615278,"C2",NA,"Compass","Exp1","No","Experiment",4
"11",20,11,11,11,39.4576352708621,45.1435417616102,41.8944523383256,0.785956983957203,-50.5013565569436,0.768397130299236,-43.8165377614743,0.972845857147467,-72.1564186627033,"No","","No","female","Golledge",309.498643443056,316.183462238526,287.843581337297,"C1",NA,"Control","Exp1","No","Control",5.93333333333333
"12",22,12,12,12,74.4736915060876,47.3596884656763,62.8534044887685,0.0205986855934947,-53.2481540800305,0.231533776729725,-88.03035842059,0.85746651927242,192.583911643283,"No","","No","male","Golledge",306.751845919969,271.96964157941,192.583911643283,"C1",NA,"Control","Exp1","No","Control",3
"13",23,13,13,13,54.9410387733526,25.7672623549409,42.4379917368904,0.324124981227231,10.8999822503929,0.79361334896994,-66.8844368677845,0.950948689643297,25.5070020250042,"Yes","Sauer Center","No","female","Golledge",10.8999822503929,293.115563132215,25.5070020250042,"C1",NA,"Compass","Exp1","No","Experiment",5.06666666666667
"14",24,14,14,14,67.4602663871345,26.7746595183111,50.0235777290673,0.708089321926145,236.808673216467,0.693579025118388,262.136152116401,0.464963015010421,-85.5817679660269,"No","Sauer Center","No","female","Golledge",236.808673216467,262.136152116401,274.418232033973,"C2",NA,"Control","Exp1","No","Control",4.46666666666667
"15",26,15,15,15,17.1006567106566,15.3172587901264,16.3363433161437,0.835292582145059,27.5937502751873,0.913166572084172,81.6371574224695,0.968905091893842,8.91506033743308,"No","Golledge Hall","No","male","Golledge",27.5937502751873,81.6371574224695,8.91506033743308,"C2",NA,"Control","Exp1","No","Control",4.53333333333333
"16",28,16,16,16,68.6371031082334,14.0623106099042,45.2479063232352,0.407543103020039,169.873091293451,0.14626660710056,72.1866875591201,0.952732672500256,-77.6835694339683,"No","Sauer Center","No","male","Batty",169.873091293451,72.1866875591201,282.316430566032,"C2",NA,"Control","Exp1","No","Control",2.66666666666667
"17",29,17,17,17,79.1421650716236,6.81573812308943,48.1451249508233,0.695997621287173,180.549070701007,0.777763883157455,249.925288857609,0.883690106971947,198.888094782221,"Yes","Harvey House","No","female","Golledge",180.549070701007,249.925288857609,198.888094782221,"C1",NA,"Compass","Exp1","No","Experiment",4.53333333333333
