"participant","date","model number","building","x","y","error"
"0008","2022-03-16 18:45:15 UTC","0","Sauer Center","400","87","239.47651241823277"
"0008","2022-03-16 18:45:15 UTC","0","Tobler Museum","239","158","256.5384961365448"
"0009","2022-03-18 17:44:27 UTC","0","Batty House","187","505","282.64642223102703"
"0009","2022-03-18 17:44:27 UTC","0","Lynch Station","92","293","186.9786084021378"
"0009","2022-03-18 17:44:27 UTC","0","Golledge Hall","377","251","191.23022773609824"
"0009","2022-03-18 17:44:27 UTC","0","Snow Church","581","157","143.27944723511465"
"0009","2022-03-18 17:44:27 UTC","0","Sauer Center","397","13","228.1403077055872"
"0009","2022-03-18 17:44:27 UTC","0","Tobler Museum","150","99","343.77027212951384"
"0009","2022-03-18 17:44:27 UTC","0","Harris Hall","517","370","334.5743564590687"
"0009","2022-03-18 17:44:27 UTC","0","Harvey House","712","357","437.15900997234405"
"2007","2022-03-23 14:37:49 UTC","0","Snow Church","606","268","126.763559432512"
"2007","2022-03-23 14:37:49 UTC","0","Lynch Station","582","57","573.9242110244174"
"2007","2022-03-23 14:37:49 UTC","0","Batty House","468","57","490.6179776567508"
"2007","2022-03-23 14:37:49 UTC","0","Golledge Hall","344","408","249.1766441703556"
"2007","2022-03-23 14:37:49 UTC","0","Harris Hall","508","346","316.62122480970856"
"2007","2022-03-23 14:37:49 UTC","0","Sauer Center","104","52","523.1156659860227"
"2007","2022-03-23 14:37:49 UTC","0","Tobler Museum","110","409","478.60004178854814"
"2007","2022-03-23 14:37:49 UTC","0","Harvey House","128","227","306.78983033992506"
"2008","2022-03-23 16:21:49 UTC","0","Batty House","-2","458","188.2471779336944"
"2008","2022-03-23 16:21:49 UTC","0","Lynch Station","-4","280","156.81836627130127"
"2008","2022-03-23 16:21:49 UTC","0","Harris Hall","268","291","83.86894538504703"
"2008","2022-03-23 16:21:49 UTC","0","Harvey House","635","472","341.2477106150311"
"2008","2022-03-23 16:21:49 UTC","0","Golledge Hall","525","229","73.24616030891995"
"2008","2022-03-23 16:21:49 UTC","0","Snow Church","520","99","222.8272873774664"
"2008","2022-03-23 16:21:49 UTC","0","Sauer Center","299","21","326.39240187234753"
"2008","2022-03-23 16:21:49 UTC","0","Tobler Museum","34","24","469.34528867348826"
"2011","2022-03-25 15:42:05 UTC","0","Golledge Hall","323","446","286.54144551879403"
"2011","2022-03-25 15:42:05 UTC","0","Tobler Museum","68","379","496.6628635201146"
"2011","2022-03-25 15:42:05 UTC","0","Sauer Center","74","158","571.8478818706947"
"2011","2022-03-25 15:42:05 UTC","0","Snow Church","339","49","408.0012254883556"
"2011","2022-03-25 15:42:05 UTC","0","Batty House","715","330","690.4404391401188"
"2011","2022-03-25 15:42:05 UTC","0","Harris Hall","535","97","345.023187626571"
"2011","2022-03-25 15:42:05 UTC","0","Lynch Station","536","419","601.332686621973"
"2011","2022-03-25 15:42:05 UTC","0","Harvey House","488","252","303.1913587159106"
"2012","2022-03-29 16:59:29 UTC","0","Tobler Museum","311","391","324.7845439672276"
"2012","2022-03-29 16:59:29 UTC","0","Sauer Center","34","416","719.8624868681518"
"2012","2022-03-29 16:59:29 UTC","0","Snow Church","23","228","693.3815688349381"
"2012","2022-03-29 16:59:29 UTC","0","Golledge Hall","270","202","307.17584540455"
"2012","2022-03-29 16:59:29 UTC","0","Harvey House","190","10","486.25199228383633"
"2012","2022-03-29 16:59:29 UTC","0","Batty House","731","77","730.5073579369341"
"2012","2022-03-29 16:59:29 UTC","0","Harris Hall","430","481","333.54160160315837"
"2012","2022-03-29 16:59:29 UTC","0","Lynch Station","641","191","632.5582977085985"
"2013","2022-04-01 14:18:44 UTC","0","Lynch Station","622","412","674.5694923430796"
"2013","2022-04-01 14:18:44 UTC","0","Batty House","617","519","639.6162912246685"
"2013","2022-04-01 14:18:44 UTC","0","Tobler Museum","104","390","472.3822604628586"
"2013","2022-04-01 14:18:44 UTC","0","Harvey House","357","480","63.198101237299845"
"2013","2022-04-01 14:18:44 UTC","0","Harris Hall","697","309","489.0940604832571"
"2013","2022-04-01 14:18:44 UTC","0","Golledge Hall","597","187","109.11003620199197"
"2013","2022-04-01 14:18:44 UTC","0","Snow Church","339","41","411.1265012134343"
"2013","2022-04-01 14:18:44 UTC","0","Sauer Center","18","165","627.7332235910411"
"2014","2022-04-01 17:22:21 UTC","0","Batty House","35","519","247.12952069714376"
"2014","2022-04-01 17:22:21 UTC","0","Lynch Station","11","332","208.00240383226344"
"2014","2022-04-01 17:22:21 UTC","0","Harris Hall","336","292","137.82960494755835"
"2014","2022-04-01 17:22:21 UTC","0","Harvey House","641","468","347.41617694056794"
"2014","2022-04-01 17:22:21 UTC","0","Golledge Hall","626","139","164.1584600317632"
"2014","2022-04-01 17:22:21 UTC","0","Tobler Museum","276","159","220.1317787144782"
"2014","2022-04-01 17:22:21 UTC","0","Sauer Center","224","21","401.31907505126145"
"2014","2022-04-01 17:22:21 UTC","0","Snow Church","507","20","279.1164631475542"
"2014","2022-04-01 17:22:21 UTC","1","Batty House","31","508","236.03389587091087"
"2014","2022-04-01 17:22:21 UTC","1","Lynch Station","5","361","237.10335299189677"
"2014","2022-04-01 17:22:21 UTC","1","Harris Hall","281","296","96.20810776644555"
"2014","2022-04-01 17:22:21 UTC","1","Harvey House","576","468","282.51194665004874"
"2014","2022-04-01 17:22:21 UTC","1","Golledge Hall","611","147","151.47607071745688"
"2014","2022-04-01 17:22:21 UTC","1","Snow Church","524","16","269.4160351575236"
"2014","2022-04-01 17:22:21 UTC","1","Sauer Center","259","16","366.16526323505894"
"2014","2022-04-01 17:22:21 UTC","1","Tobler Museum","323","162","174.64249196572982"
"2015","2022-04-01 20:41:59 UTC","0","Golledge Hall","409","125","227.11450856341168"
"2015","2022-04-01 20:41:59 UTC","0","Snow Church","429","27","337.71733742880303"
"2015","2022-04-01 20:41:59 UTC","0","Tobler Museum","158","100","335.72161086233336"
"2015","2022-04-01 20:41:59 UTC","0","Sauer Center","25","194","629.0635897904122"
"2015","2022-04-01 20:41:59 UTC","0","Lynch Station","309","393","400.7118665575054"
"2015","2022-04-01 20:41:59 UTC","0","Harvey House","87","445","210.8293148497144"
"2015","2022-04-01 20:41:59 UTC","0","Harris Hall","669","204","454.53272709454046"
"2015","2022-04-01 20:41:59 UTC","0","Batty House","631","454","630.8248568342881"
"2015","2022-04-01 20:41:59 UTC","1","Golledge Hall","437","150","189.76301009416983"
"2015","2022-04-01 20:41:59 UTC","1","Snow Church","437","43","322.62206992082855"
"2015","2022-04-01 20:41:59 UTC","1","Lynch Station","412","406","489.41189196830925"
"2015","2022-04-01 20:41:59 UTC","1","Sauer Center","18","206","639.4137940332536"
"2015","2022-04-01 20:41:59 UTC","1","Batty House","704","383","686.0393574715666"
"2015","2022-04-01 20:41:59 UTC","1","Tobler Museum","129","44","372.2633476451852"
"2015","2022-04-01 20:41:59 UTC","1","Harvey House","243","442","66.70832032063167"
"2015","2022-04-01 20:41:59 UTC","1","Harris Hall","643","194","429.19459456055597"
"2016","2022-04-04 17:14:50 UTC","0","Golledge Hall","646","461","188.74321179846442"
"2016","2022-04-04 17:14:50 UTC","0","Snow Church","532","336","225.86943130932968"
"2016","2022-04-04 17:14:50 UTC","0","Harris Hall","354","457","269.59599403551977"
"2016","2022-04-04 17:14:50 UTC","0","Sauer Center","351","280","388.2022668661274"
"2016","2022-04-04 17:14:50 UTC","0","Batty House","66","498","229.34035841953332"
"2016","2022-04-04 17:14:50 UTC","0","Lynch Station","33","281","158.39823231336896"
"2016","2022-04-04 17:14:50 UTC","0","Harvey House","680","241","456.6530411592591"
"2016","2022-04-04 17:14:50 UTC","0","Tobler Museum","490","146","24.186773244895647"
"2017","2022-04-05 17:12:31 UTC","0","Batty House","509","16","545.7655174156755"
"2017","2022-04-05 17:12:31 UTC","0","Lynch Station","491","87","480.4268935020187"
"2017","2022-04-05 17:12:31 UTC","0","Harris Hall","357","157","157.87653403846943"
"2017","2022-04-05 17:12:31 UTC","0","Harvey House","150","18","488.6972477925367"
"2017","2022-04-05 17:12:31 UTC","0","Sauer Center","634","416","411.0985283359696"
"2017","2022-04-05 17:12:31 UTC","0","Tobler Museum","620","308","225.22211259110415"
"2017","2022-04-05 17:12:31 UTC","0","Golledge Hall","315","334","252.68557536986555"
"2017","2022-04-05 17:12:31 UTC","0","Snow Church","434","491","401.6466108409232"
"2018","2022-04-06 14:22:59 UTC","0","Harvey House","298","19","466.0171670657638"
"2018","2022-04-06 14:22:59 UTC","0","Golledge Hall","280","201","297.91945220142975"
"2018","2022-04-06 14:22:59 UTC","0","Snow Church","150","320","577.5647149887188"
"2018","2022-04-06 14:22:59 UTC","0","Harris Hall","454","87","276.4814641164937"
"2018","2022-04-06 14:22:59 UTC","0","Sauer Center","230","454","598.0183943659258"
"2018","2022-04-06 14:22:59 UTC","0","Tobler Museum","477","407","285.44876948412303"
"2018","2022-04-06 14:22:59 UTC","0","Lynch Station","623","263","626.6115223964526"
"2018","2022-04-06 14:22:59 UTC","0","Batty House","692","227","666.5208173793224"
"2019","2022-04-06 18:00:58 UTC","0","Lynch Station","534","142","522.3102526276887"
