"X.2","participant","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","within_route_r2","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","group","condition_all_manu","mountain_group"
1,4,1,1,46.1080401450309,27.4408770368617,38.107827384387,0.677732314972441,-35.1157193057612,0.861616427882391,-28.8479302421754,0.670158770594705,-31.3838214066816,0.765887599238548,"No","","No","woman","Batty",324.884280694239,331.152069757825,328.616178593318,"C2",NA,"Control","Exp1","No","Control","Control","No Mountains"
2,5,2,2,53.6933082879943,5.8153118944116,33.1741669764589,0.849313874197458,-35.2826235175,0.92073783802521,-29.5793627996155,0.749944959714413,-33.2961145037498,0.835341398869812,"Yes","","No","woman","Batty",324.7173764825,330.420637200384,326.70388549625,"C2",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
7,15,7,7,54.7738383653006,40.3090731543638,48.5746532748991,0.528904581652717,-56.3970683879604,0.934664884396195,-48.4187773895383,0.0917625024149042,-79.0392700421139,0.51321369340555,"Yes","","No","woman","Batty",303.60293161204,311.581222610462,280.960729957886,"C1",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
9,17,9,9,16.5232893823629,9.19737119060784,13.383610157325,0.950748115512161,-33.4146674660208,0.938559611131453,-43.6678209898393,0.813368524475606,-22.9771736376752,0.87596406780353,"Yes","","No","woman","Golledge",326.585332533979,316.332179010161,337.022826362325,"C2",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
10,19,10,10,61.624396528393,56.201177849637,59.3001599517833,0.694518313539834,28.7062566404655,0.801383949024899,21.6894273958565,0.0789162418926669,110.330152615278,0.440150095458783,"Yes","","No","woman","Golledge",28.7062566404655,21.6894273958565,110.330152615278,"C2",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
11,20,11,11,39.4576352708621,45.1435417616102,41.8944523383256,0.785956983957203,-50.5013565569436,0.768397130299236,-43.8165377614743,0.972845857147467,-72.1564186627033,0.870621493723351,"No","","No","woman","Golledge",309.498643443056,316.183462238526,287.843581337297,"C1",NA,"Control","Exp1","No","Control","Control","No Mountains"
13,23,13,13,54.9410387733526,25.7672623549409,42.4379917368904,0.324124981227231,10.8999822503929,0.79361334896994,-66.8844368677845,0.950948689643297,25.5070020250042,0.872281019306618,"Yes","Sauer Center","No","woman","Golledge",10.8999822503929,293.115563132215,25.5070020250042,"C1",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
14,24,14,14,67.4602663871345,26.7746595183111,50.0235777290673,0.708089321926145,236.808673216467,0.693579025118388,262.136152116401,0.464963015010421,-85.5817679660269,0.579271020064404,"No","Sauer Center","No","woman","Golledge",236.808673216467,262.136152116401,274.418232033973,"C2",NA,"Control","Exp1","No","Control","Control","No Mountains"
17,29,17,17,79.1421650716236,6.81573812308943,48.1451249508233,0.695997621287173,180.549070701007,0.777763883157455,249.925288857609,0.883690106971947,198.888094782221,0.830726995064701,"Yes","Harvey House","No","woman","Golledge",180.549070701007,249.925288857609,198.888094782221,"C1",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
18,30,18,18,62.3539963313033,20.5709011078088,44.4469555212342,0.475750147048113,58.5786952908118,0.881126809235977,47.4479531356305,0.803043950288474,-66.6065506652196,0.842085379762225,"No","Batty House","No","woman","Batty",58.5786952908118,47.4479531356305,293.39344933478,"C2",NA,"Control","Exp1","No","Control","Control","No Mountains"
19,31,19,19,17.5944219565626,6.10773346610012,12.6715554606501,0.751089920300064,-34.1683842074637,0.920516216660519,-38.1308985231248,0.850777003576586,14.8598815726071,0.885646610118553,"Yes","Sauer Center","No","woman","Batty",325.831615792536,321.869101476875,14.8598815726071,"C2",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
20,32,20,20,56.2754664813639,15.4517426151754,38.779584824426,0.517060696475535,155.1734749055,0.895909759891846,49.5750515237442,0.860116919199713,209.986625466739,0.878013339545779,"No","Tobler Museum","No","woman","Batty",155.1734749055,49.5750515237442,209.986625466739,"C2",NA,"Control","Exp1","No","Control","Control","No Mountains"
21,33,21,21,63.1830529268033,42.8368558152391,54.4632541647043,0.353717566744609,-1.57554896716668,0.67138035372032,214.856480029817,0.821083676484223,-1.21948183349471,0.746232015102271,"Yes","Harvey House","No","woman","Golledge",358.424451032833,214.856480029817,358.780518166505,"C2",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
22,34,22,22,55.8845477442575,31.3904706754029,45.3870861433198,0.260898936363829,-23.8190844547033,0.635667421985182,267.601021117449,0.802522810028715,86.6362267613141,0.719095116006949,"No","Batty House","No","woman","Batty",336.180915545297,267.601021117449,86.6362267613141,"C2",NA,"Control","Exp1","No","Control","Control","No Mountains"
23,35,23,23,59.0876835478234,22.4405056954433,43.3817501825176,0.607496089444261,-42.0275784033818,0.782023056846208,-28.8312171675579,0.849792999382433,-3.52166233627326,0.815908028114321,"Yes","Golledge Hall","No","woman","Golledge",317.972421596618,331.168782832442,356.478337663727,"C1",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
24,39,24,24,52.2427258411855,30.3615667288994,42.8650862216343,0.472110787339503,209.35316186864,0.176698519809597,90.4578980723904,0.94960965073916,188.3653158876,0.563154085274378,"Yes","Golledge Hall","No","woman","Golledge",209.35316186864,90.4578980723904,188.3653158876,"C1",NA,"Compass","Exp1","No","Experiment","Compass","No Mountains"
