"participant","between","within","correct_absolute_error_other","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","within_route_r2","Condition","First_Building_in_model.building","Pilot","sex","first_route","mean_other_pointing_error","degrees_range","circular_mean_mountain_p_direction_degrees","target_landmark"
2008,28.9013515884775,11.2714427895321,114.957016,21.3456763889295,0.723658259985186,-42.9689469236222,0.950553909944764,-33.9957746634865,0.62100985656985,-32.2816517153712,0.785781883257307,"Mountains","Batty House","No","man","Golledge",114.957016,68.09976,-114.893792693316,"Mountain Range"
2011,69.1109552778601,12.4486488479968,103.1766455,44.8271096650615,0.469343156435849,214.519640280629,0.272677799360105,214.158256841338,0.908200210259281,-62.4323179250837,0.590439004809693,"Compass","Golledge Hall","No","woman","Golledge",103.1766455,213.08967,-107.498923282595,"Compass North"
2012,33.5418482389546,11.5695604015853,20.756635,24.1251534515106,0.752081292037452,171.456506122322,0.782032689822551,148.764951466776,0.925122535498623,203.755047213815,0.853577612660587,"Mountains","Tobler Museum","No","woman","Batty",20.756635,83.7607,11.5103685500867,"Mountain Range"
2013,45.0564869163559,40.5497627733401,65.781685,43.1250337122063,0.463421652624154,236.282594502035,0.234647522001201,108.135858120177,0.897262949509448,268.625405047069,0.565955235755324,"Compass","Sauer Center","No","woman","Golledge",65.781685,210.9846,-50.6461752983322,"Compass North"
2014,15.1052203656095,5.95524114747104,25.02702375,11.183800700693,NA,NA,NA,NA,NA,NA,NA,"Mountains","Batty House","No","woman","Batty",25.02702375,77.9571,14.6932986290204,"Mountain Range"
2015,45.0779591432154,38.7603906187939,87.90974925,42.3704297756062,NA,NA,NA,NA,NA,NA,NA,"Compass","Golledge Hall","No","woman","Golledge",87.90974925,274.869446,-84.8359180145887,"Compass North"
2016,68.5548592819122,43.5802742695709,114.03259625,57.8514657051945,0.446386410620285,-25.7144130369575,0.710336182730488,-52.1467385958733,0.241801889030627,-47.2899928609911,0.476069035880557,"Mountains","Golledge Hall","No","woman","Golledge",114.03259625,192.93444,-122.695229110128,"Mountain Range"
2017,23.6806382624421,7.12587808873265,10.238385,16.5857410451381,0.80190207110685,97.3429906627443,0.934032025618556,141.385190163628,0.906110510079323,100.612720136793,0.92007126784894,"Compass","Batty House","No","man","Golledge",10.238385,50.0227299999999,-5.84523193977558,"Compass North"
2018,46.9061591112651,25.7433302700178,110.25636375,37.8363753221591,0.82704958900016,162.739681212113,0.762311746421788,174.286633098588,0.864346307991135,177.065144595075,0.813329027206461,"Mountains","Harvey House","No","woman","Golledge",110.25636375,76.33612,-110.281055496561,"Mountain Range"
2019,25.9278984230065,13.2365401517381,24.70847625,20.4887448781772,0.882168644813976,162.42962075068,0.67622283579714,148.440319903033,0.868951480915937,189.417302445101,0.772587158356538,"Compass","Lynch Station","No","man","Golledge",24.70847625,58.90273,-20.9527467754821,"Compass North"
