ID,Silcton ID,Pilot,Compass_condition,Date,Time Arrived,Time Done,Tasks_done,First_Building_in_model building
0055,0047,No,Yes,11/17/2021,10:18 AM,11:26 AM,"Training without goals, Compass Routes, pointing task",Lynch Station
0056,0048,No,No,11/18/2021,10:08 AM,11:10 AM,"Training without goals, non-Compass Routes, pointing task",
0057,0049,No,Yes,11/18/2021,11:30 AM,12:14 PM,"Training without goals, Compass Routes, pointing task",Sauer Center
0058,0050,No,No,11/29/2021,2:10 PM,2:59 PM,"Training without goals, non-Compass Routes, pointing task",Batty House
0059,0051,No,Yes,11/29/2021,3:37 PM,4:34 PM,"Training without goals, Compass Routes, pointing task",Batty House
0060,0052,No,No,11/30/2021,1:53 PM,2:52 PM,"Training without goals, non-Compass Routes, pointing task",Golledge Hall
0061,0053,No,Yes,11/30/2021,3:59 PM,4:41 PM,"Training without goals, Compass Routes, pointing task",Batty House
0062,0054,No,No,12/1/2021,8:58 AM,9:51 pm,"Training without goals, non-Compass Routes, pointing task",Lynch Station
0063,0055,No,Yes,12/1/2021,10:19 AM,11:13 AM,"Training without goals, Compass Routes, pointing task",Batty House
0064,0056,No,No,12/1/2021,3:05 PM ,3:53 PM,"Training without goals, non-Compass Routes, pointing task",Sauer Center
0065,0057,No,Yes,12/2/2021,10:01 AM ,11:02 AM,"Training without goals, Compass Routes, pointing task",Golledge Hall
0066,0058,No,No,12/2/2021,2:39 PM,3:31 PM,"Training without goals, non-Compass Routes, pointing task",Golledge Hall
0067,0059,No,Yes,12/3/2021,8:59  AM,10:03 AM,"Training without goals, Compass Routes, pointing task",Batty House
0068,0060,No,No,12/3/2021,10:28 AM,11:34 AM,"Training without goals, non-Compass Routes, pointing task",Tobler Museum
0069,0061,No,Yes,12/3/2021,1:47 PM,2:39 PM,"Training without goals, Compass Routes, pointing task",Harris Hall
0070,motion sick,No,No,12/3/2021,3:07 PM,3:44 PM,"Training without goals, non-Compass Routes, pointing task",
0071,0062,No,Yes,12/6/2021,12:08 PM,1:00 PM,"Training without goals, Compass Routes, pointing task",Batty House
0072,0063,No,No,12/6/2021,1:43 PM,2:38 PM,"Training without goals, non-Compass Routes, pointing task",Batty House
0073,0064,No,Yes,12/6/2021,3:48 PM,4:39 PM,"Training without goals, Compass Routes, pointing task",Golledge Hall
0074,0065,Yes,No,2/16/2022,1:05 PM,,"Training without goals, Compass Routes, pointing task",
0075,0066,Yes,Yes,2/18/2022,,1:18,"Training without goals, Mountain Routes, pointing task",Sauer Center
0076,0067,Yes,No,2/18/2022,,,"Training without goals, Mountain Routes, pointing task",Lynch Station
0077,0068,Yes,Yes,2/21/2022,10:20,11:10,"Training without goals, Mountain Routes, pointing task",Batty House
0078,,,No,,,,,
0079,,,Yes,,,,,
0080,,,No,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
