log_18-10-2021_013429.txt

Scene Name is Silcton_C1_Arrows_VR_Compass

Participant ID is 0029

x,y,z,walking_angle,head_angle

85.30;2.03;164.37;517.16;165.24

85.30;2.03;164.37;517.14;161.45

85.30;2.03;164.37;517.15;157.58

85.30;2.03;164.37;517.10;155.13

85.30;2.03;164.37;517.10;154.22

85.30;2.03;164.37;517.11;152.75

85.30;2.03;164.37;517.10;148.20

85.30;2.03;164.37;517.18;142.98

85.30;2.03;164.37;517.15;132.68

85.30;2.03;164.37;517.12;125.59

85.30;2.03;164.37;517.10;119.15

85.30;2.03;164.37;517.09;113.74

85.30;2.03;164.37;517.13;111.39

85.30;2.03;164.37;517.08;110.31

85.30;2.03;164.37;517.12;111.50

85.30;2.03;164.37;517.15;114.05

85.30;2.03;164.37;517.14;117.89

85.30;2.03;164.37;517.20;126.69

85.30;2.03;164.37;517.13;137.20

85.30;2.03;164.37;517.13;146.68

85.30;2.03;164.37;517.05;153.97

85.30;2.03;164.37;517.16;160.70

85.30;2.03;164.37;517.12;166.98

85.30;2.03;164.37;517.13;176.56

85.30;2.03;164.37;517.10;185.35

85.30;2.03;164.37;517.09;197.13

85.30;2.03;164.37;517.14;202.88

85.30;2.03;164.37;517.16;209.37

85.30;2.03;164.37;517.21;213.57

85.30;2.03;164.37;517.13;215.37

85.30;2.03;164.37;517.14;216.10

85.30;2.03;164.37;517.15;215.31

85.30;2.03;164.37;517.20;212.72

85.30;2.03;164.37;517.16;211.53

85.30;2.03;164.37;517.18;213.20

85.30;2.03;164.37;517.15;214.37

85.30;2.03;164.37;517.12;219.24

85.30;2.03;164.37;517.13;227.68

85.30;2.03;164.37;517.16;234.15

85.30;2.03;164.37;517.15;239.41

85.30;2.03;164.37;517.23;241.00

85.30;2.03;164.37;517.45;242.97

85.30;2.03;164.37;519.52;242.65

85.30;2.03;164.37;522.74;243.33

85.30;2.03;164.37;527.01;244.23

85.30;2.03;164.37;530.90;248.17

85.30;2.03;164.37;537.33;252.55

85.30;2.03;164.37;543.35;259.26

85.30;2.03;164.37;549.69;267.48

85.30;2.03;164.37;554.97;274.70

85.30;2.03;164.37;199.60;281.46

85.30;2.03;164.37;201.55;284.37

85.30;2.03;164.37;202.28;285.25

85.30;2.03;164.37;202.25;285.88

85.30;2.03;164.37;202.32;286.33

85.30;2.03;164.37;202.24;285.54

85.25;2.03;164.31;202.26;283.69

85.16;2.03;164.20;202.30;280.38

85.10;2.03;164.13;202.26;276.81

85.03;2.03;164.03;202.26;270.63

84.87;2.03;163.81;202.25;259.17

84.69;2.03;163.56;202.31;249.98

84.69;2.03;163.56;202.27;242.08

84.69;2.03;163.56;202.29;235.50

84.69;2.03;163.56;202.34;230.03

84.69;2.03;163.56;202.43;225.64

84.69;2.03;163.56;202.41;223.34

84.69;2.03;163.56;202.41;220.65

84.69;2.03;163.56;202.39;219.18

84.69;2.03;163.56;202.57;217.65

84.69;2.03;163.56;202.53;216.63

84.69;2.03;163.56;202.76;216.75

84.69;2.03;163.56;203.63;215.53

84.69;2.03;163.56;205.25;211.90

84.69;2.03;163.56;209.85;208.08

84.69;2.03;163.56;214.63;204.87

84.69;2.03;163.56;218.96;201.88

84.69;2.03;163.56;222.64;201.16

84.69;2.03;163.56;226.91;200.31

84.69;2.03;163.56;228.99;200.93

84.69;2.03;163.56;229.65;201.72

84.69;2.03;163.56;229.56;201.86

84.69;2.03;163.56;229.62;202.44

84.69;2.03;163.56;229.60;202.87

84.69;2.03;163.56;229.62;203.56

84.69;2.03;163.56;229.68;204.09

84.69;2.03;163.56;229.48;205.33

84.69;2.03;163.56;229.63;207.81

84.69;2.03;163.56;229.61;211.56

84.69;2.03;163.56;229.63;215.30

84.69;2.03;163.56;229.62;223.68

84.69;2.03;163.56;229.64;231.40

84.69;2.03;163.56;229.58;235.81

84.69;2.03;163.56;229.63;238.36

84.69;2.03;163.56;229.59;241.88

84.69;2.03;163.56;229.57;244.06

84.69;2.03;163.56;229.62;244.85

84.69;2.03;163.56;229.58;242.67

84.69;2.03;163.56;229.65;240.03

84.69;2.03;163.56;229.58;238.15

84.69;2.03;163.56;229.53;237.28

84.69;2.03;163.56;229.55;236.23

84.69;2.03;163.56;229.62;235.27

84.69;2.03;163.56;229.51;234.72

84.69;2.03;163.56;229.61;234.67

84.69;2.03;163.56;229.59;234.51

84.69;2.03;163.56;229.65;233.82

84.69;2.03;163.56;229.50;233.44

84.69;2.03;163.56;229.50;232.69

