participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
0073,Batty House,Lynch Station,1.0,-38.5234,-47.32798389151449,8.80458389151449,within_a
0073,Batty House,Harris Hall,6.0,-0.81781,37.52863730402907,38.34644730402907,within_a
0073,Batty House,Harvey House,5.0,80.19157,93.19423765817854,13.002667658178538,within_a
0073,Batty House,Golledge Hall,0.0,81.6062,51.76768153806614,29.83851846193386,between
0073,Batty House,Snow Church,2.0,25.968429999999998,48.19947553081968,22.231045530819685,between
0073,Batty House,Sauer Center,3.0,-87.16894,30.331695097476896,117.5006350974769,between
0073,Batty House,Tobler Museum,4.0,24.15503,37.30802198129223,13.152991981292228,between
0073,Lynch Station,Batty House,8.0,134.2695,130.6542463331721,3.615253666827897,within_a
0073,Lynch Station,Harris Hall,7.0,-28.560290000000002,7.02170467090796,35.58199467090796,within_a
0073,Lynch Station,Harvey House,9.0,-56.29473,48.195938013595914,104.49066801359592,within_a
0073,Lynch Station,Golledge Hall,11.0,-173.7052,-3.323863738061074,170.3813362619389,between
0073,Lynch Station,Snow Church,13.0,-74.74051999999999,-8.968174613078338,65.77234538692166,between
0073,Lynch Station,Sauer Center,10.0,-17.48086,-29.209033423777672,11.728173423777672,between
0073,Lynch Station,Tobler Museum,12.0,-9.226244,-17.950764420634226,8.724520420634226,between
0073,Harris Hall,Batty House,20.0,152.9133,83.35216568459656,69.56113431540344,within_a
0073,Harris Hall,Lynch Station,14.0,120.6807,114.56279427841682,6.117905721583185,within_a
0073,Harris Hall,Harvey House,18.0,-12.09877,-2.146796903629346,9.951973096370654,within_a
0073,Harris Hall,Golledge Hall,19.0,-44.671040000000005,-77.71082192465416,33.03978192465415,between
0073,Harris Hall,Snow Church,16.0,-77.44312,-84.72811220292517,7.2849922029251815,between
0073,Harris Hall,Sauer Center,17.0,-70.09718000000001,-110.65743363432559,40.560253634325576,between
0073,Harris Hall,Tobler Museum,15.0,-116.5714,-99.95984558186653,16.611554418133466,between
0073,Harvey House,Batty House,24.0,76.80261999999999,-46.54689912218602,123.34951912218601,within_a
0073,Harvey House,Lynch Station,22.0,-100.1572,-32.282464292919606,67.87473570708039,within_a
0073,Harvey House,Harris Hall,23.0,52.737190000000005,-4.196894849005793,56.9340848490058,within_a
0073,Harvey House,Golledge Hall,26.0,104.7915,64.95302540271734,39.838474597282655,between
0073,Harvey House,Snow Church,27.0,16.558220000000002,66.19140237525872,49.63318237525871,between
0073,Harvey House,Sauer Center,25.0,12.0539,46.29205396301872,34.238153963018725,between
0073,Harvey House,Tobler Museum,21.0,-8.66762,42.14615862727205,50.81377862727205,between
0073,Golledge Hall,Batty House,33.0,-172.4649,173.56946174631767,13.9656382536823,between
0073,Golledge Hall,Lynch Station,31.0,-7.41103,-173.9683139144782,166.55728391447818,between
0073,Golledge Hall,Harris Hall,34.0,-47.67195,176.2022806137976,136.1257693862024,between
0073,Golledge Hall,Harvey House,30.0,-178.6516,139.93093678256204,41.417463217437955,between
0073,Golledge Hall,Snow Church,29.0,-3.4246269999999996,1.2041344013640871,4.628761401364087,within_b
0073,Golledge Hall,Sauer Center,32.0,-24.18455,-76.21088344473237,52.02633344473237,within_b
0073,Golledge Hall,Tobler Museum,28.0,-147.7312,-147.02844706156867,0.7027529384313311,within_b
0073,Snow Church,Batty House,40.0,120.4395,-90.6470094165935,148.91349058340649,between
0073,Snow Church,Lynch Station,39.0,-2.308595,-79.44851915391442,77.13992415391442,between
0073,Snow Church,Harris Hall,38.0,-45.86481,-88.09346154480704,42.22865154480704,between
0073,Snow Church,Harvey House,37.0,-86.53112,-119.69295786010946,33.16183786010946,between
0073,Snow Church,Golledge Hall,36.0,142.2839,-125.84311454991945,91.87298545008059,within_b
0073,Snow Church,Sauer Center,41.0,-71.59567,-0.27926235158265256,71.31640764841734,within_b
0073,Snow Church,Tobler Museum,35.0,10.01912,-63.692776166334035,73.71189616633403,within_b
0073,Sauer Center,Batty House,47.0,-70.40397,6.74450862234883,77.14847862234883,between
0073,Sauer Center,Lynch Station,45.0,-6.140312000000001,17.762054920259878,23.90236692025988,between
0073,Sauer Center,Harris Hall,46.0,-55.21161,4.240040563502457,59.451650563502454,between
0073,Sauer Center,Harvey House,48.0,7.585377,-23.09134403283715,30.67672103283715,between
0073,Sauer Center,Golledge Hall,44.0,-50.3793,-51.85616181338526,1.4768618133852627,within_b
0073,Sauer Center,Snow Church,42.0,-80.41048,-89.63525725921562,9.224777259215614,within_b
0073,Sauer Center,Tobler Museum,43.0,-98.28684,2.713388186025373,101.00022818602537,within_b
0073,Tobler Museum,Batty House,55.0,47.85109,-171.00866513563608,141.14024486436392,between
0073,Tobler Museum,Lynch Station,50.0,52.0229,-156.23556254554433,151.74153745445568,between
0073,Tobler Museum,Harris Hall,53.0,15.214870000000001,-173.2852643263075,171.4998656736925,between
0073,Tobler Museum,Harvey House,51.0,33.61102,147.24819099679667,113.63717099679667,between
0073,Tobler Museum,Golledge Hall,49.0,81.66481999999999,67.30353066020724,14.361289339792748,within_b
0073,Tobler Museum,Snow Church,52.0,8.12098,38.782798085606366,30.661818085606367,within_b
0073,Tobler Museum,Sauer Center,54.0,42.87474,-20.69981415519988,63.574554155199884,within_b
