participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
0026,Batty House,Lynch Station,0.0,-46.21692,-47.32798389151449,1.1110638915144904,within_a
0026,Batty House,Harris Hall,3.0,43.66722,37.52863730402907,6.138582695970932,within_a
0026,Batty House,Harvey House,5.0,95.88107,93.19423765817854,2.6868323418214572,within_a
0026,Batty House,Golledge Hall,6.0,52.182970000000005,51.76768153806614,0.41528846193386215,between
0026,Batty House,Snow Church,4.0,30.575879999999998,48.19947553081968,17.623595530819685,between
0026,Batty House,Sauer Center,2.0,21.50805,30.331695097476896,8.823645097476895,between
0026,Batty House,Tobler Museum,1.0,28.335409999999996,37.30802198129223,8.972611981292232,between
0026,Lynch Station,Batty House,12.0,132.6033,130.6542463331721,1.9490536668278935,within_a
0026,Lynch Station,Harris Hall,9.0,2.703636,7.02170467090796,4.3180686709079605,within_a
0026,Lynch Station,Harvey House,8.0,59.04946999999999,48.195938013595914,10.853531986404079,within_a
0026,Lynch Station,Golledge Hall,13.0,-4.873752,-3.323863738061074,1.5498882619389258,between
0026,Lynch Station,Snow Church,11.0,-37.97439,-8.968174613078338,29.00621538692166,between
0026,Lynch Station,Sauer Center,10.0,-48.84474,-29.209033423777672,19.63570657622233,between
0026,Lynch Station,Tobler Museum,7.0,-31.12688,-17.950764420634226,13.176115579365774,between
0026,Harris Hall,Batty House,18.0,79.11998,83.35216568459656,4.232185684596558,within_a
0026,Harris Hall,Lynch Station,16.0,111.4959,114.56279427841682,3.066894278416811,within_a
0026,Harris Hall,Harvey House,17.0,14.301279999999998,-2.146796903629346,16.448076903629346,within_a
0026,Harris Hall,Golledge Hall,15.0,-75.07741,-77.71082192465416,2.6334119246541547,between
0026,Harris Hall,Snow Church,19.0,-105.2837,-84.72811220292517,20.55558779707482,between
0026,Harris Hall,Sauer Center,14.0,-134.4707,-110.65743363432559,23.81326636567441,between
0026,Harris Hall,Tobler Museum,20.0,-137.5195,-99.95984558186653,37.55965441813346,between
0026,Harvey House,Batty House,21.0,-26.53218,-46.54689912218602,20.01471912218602,within_a
0026,Harvey House,Lynch Station,26.0,-9.087008,-32.282464292919606,23.195456292919605,within_a
0026,Harvey House,Harris Hall,23.0,42.92236,-4.196894849005793,47.11925484900579,within_a
0026,Harvey House,Golledge Hall,24.0,66.72346,64.95302540271734,1.7704345972826587,between
0026,Harvey House,Snow Church,22.0,60.25813,66.19140237525872,5.933272375258717,between
0026,Harvey House,Sauer Center,25.0,35.53637,46.29205396301872,10.755683963018726,between
0026,Harvey House,Tobler Museum,27.0,35.237429999999996,42.14615862727205,6.908728627272055,between
0026,Golledge Hall,Batty House,34.0,-167.5003,173.56946174631767,18.93023825368232,between
0026,Golledge Hall,Lynch Station,31.0,-156.108,-173.9683139144782,17.860313914478184,between
0026,Golledge Hall,Harris Hall,28.0,-74.93696,176.2022806137976,108.8607593862024,between
0026,Golledge Hall,Harvey House,33.0,169.3215,139.93093678256204,29.390563217437943,between
0026,Golledge Hall,Snow Church,29.0,0.8987460999999999,1.2041344013640871,0.30538830136408723,within_b
0026,Golledge Hall,Sauer Center,32.0,-142.9206,-76.21088344473237,66.70971655526763,within_b
0026,Golledge Hall,Tobler Museum,30.0,-145.4427,-147.02844706156867,1.585747061568668,within_b
0026,Snow Church,Batty House,38.0,-60.27749,-90.6470094165935,30.369519416593505,between
0026,Snow Church,Lynch Station,37.0,-55.30112,-79.44851915391442,24.14739915391442,between
0026,Snow Church,Harris Hall,41.0,-85.25551,-88.09346154480704,2.8379515448070407,between
0026,Snow Church,Harvey House,40.0,-98.54475,-119.69295786010946,21.148207860109466,between
0026,Snow Church,Golledge Hall,35.0,-124.1108,-125.84311454991945,1.732314549919451,within_b
0026,Snow Church,Sauer Center,39.0,-60.836009999999995,-0.27926235158265256,60.55674764841734,within_b
0026,Snow Church,Tobler Museum,36.0,-1.5365879999999998,-63.692776166334035,62.15618816633403,within_b
0026,Sauer Center,Batty House,43.0,12.19186,6.74450862234883,5.44735137765117,between
0026,Sauer Center,Lynch Station,48.0,20.285,17.762054920259878,2.522945079740122,between
0026,Sauer Center,Harris Hall,46.0,2.601959,4.240040563502457,1.6380815635024568,between
0026,Sauer Center,Harvey House,42.0,-5.024883999999999,-23.09134403283715,18.06646003283715,between
0026,Sauer Center,Golledge Hall,44.0,-49.08569,-51.85616181338526,2.7704718133852637,within_b
0026,Sauer Center,Snow Church,45.0,-85.43906,-89.63525725921562,4.196197259215623,within_b
0026,Sauer Center,Tobler Museum,47.0,3.544145,2.713388186025373,0.8307568139746269,within_b
0026,Tobler Museum,Batty House,52.0,-176.6977,-171.00866513563608,5.689034864363919,between
0026,Tobler Museum,Lynch Station,50.0,-178.503,-156.23556254554433,22.26743745445566,between
0026,Tobler Museum,Harris Hall,49.0,163.1866,-173.2852643263075,23.528135673692532,between
0026,Tobler Museum,Harvey House,54.0,152.6317,147.24819099679667,5.383509003203329,between
0026,Tobler Museum,Golledge Hall,51.0,70.55094,67.30353066020724,3.2474093397927533,within_b
0026,Tobler Museum,Snow Church,55.0,39.31411,38.782798085606366,0.5313119143936333,within_b
0026,Tobler Museum,Sauer Center,53.0,1.158427,-20.69981415519988,21.85824115519988,within_b
