participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
0052,Batty House,Lynch Station,4.0,-35.61231,-47.32798389151449,11.715673891514491,within_a
0052,Batty House,Harris Hall,1.0,44.37838,37.52863730402907,6.8497426959709315,within_a
0052,Batty House,Harvey House,5.0,-18.28247,93.19423765817854,111.47670765817854,within_a
0052,Batty House,Golledge Hall,2.0,9.812195,51.76768153806614,41.95548653806614,between
0052,Batty House,Snow Church,6.0,21.60203,48.19947553081968,26.597445530819684,between
0052,Batty House,Sauer Center,3.0,-6.859755000000001,30.331695097476896,37.191450097476896,between
0052,Batty House,Tobler Museum,0.0,-33.47501,37.30802198129223,70.78303198129223,between
0052,Lynch Station,Batty House,12.0,135.2718,130.6542463331721,4.6175536668279165,within_a
0052,Lynch Station,Harris Hall,13.0,-8.061389,7.02170467090796,15.08309367090796,within_a
0052,Lynch Station,Harvey House,8.0,-110.7531,48.195938013595914,158.94903801359592,within_a
0052,Lynch Station,Golledge Hall,9.0,-45.26122,-3.323863738061074,41.93735626193893,between
0052,Lynch Station,Snow Church,10.0,-55.901509999999995,-8.968174613078338,46.933335386921655,between
0052,Lynch Station,Sauer Center,7.0,-46.02104,-29.209033423777672,16.812006576222327,between
0052,Lynch Station,Tobler Museum,11.0,-29.302770000000002,-17.950764420634226,11.352005579365777,between
0052,Harris Hall,Batty House,19.0,-57.45554,83.35216568459656,140.80770568459656,within_a
0052,Harris Hall,Lynch Station,16.0,-59.64881999999999,114.56279427841682,174.21161427841682,within_a
0052,Harris Hall,Harvey House,20.0,121.2938,-2.146796903629346,123.44059690362936,within_a
0052,Harris Hall,Golledge Hall,15.0,89.61675,-77.71082192465416,167.32757192465414,between
0052,Harris Hall,Snow Church,17.0,151.3065,-84.72811220292517,123.96538779707481,between
0052,Harris Hall,Sauer Center,14.0,146.3506,-110.65743363432559,102.99196636567444,between
0052,Harris Hall,Tobler Museum,18.0,-20.59628,-99.95984558186653,79.36356558186654,between
0052,Harvey House,Batty House,21.0,51.65205,-46.54689912218602,98.19894912218602,within_a
0052,Harvey House,Lynch Station,24.0,19.52313,-32.282464292919606,51.80559429291961,within_a
0052,Harvey House,Harris Hall,25.0,71.36742,-4.196894849005793,75.56431484900578,within_a
0052,Harvey House,Golledge Hall,23.0,49.23234,64.95302540271734,15.720685402717343,between
0052,Harvey House,Snow Church,22.0,22.963729999999998,66.19140237525872,43.22767237525872,between
0052,Harvey House,Sauer Center,27.0,33.946509999999996,46.29205396301872,12.345543963018727,between
0052,Harvey House,Tobler Museum,26.0,88.47700999999999,42.14615862727205,46.33085137272794,between
0052,Golledge Hall,Batty House,30.0,45.57225,173.56946174631767,127.99721174631767,between
0052,Golledge Hall,Lynch Station,34.0,46.49287,-173.9683139144782,139.5388160855218,between
0052,Golledge Hall,Harris Hall,28.0,26.897759999999998,176.2022806137976,149.3045206137976,between
0052,Golledge Hall,Harvey House,29.0,-55.062740000000005,139.93093678256204,165.00632321743797,between
0052,Golledge Hall,Snow Church,31.0,-6.756535,1.2041344013640871,7.960669401364088,within_b
0052,Golledge Hall,Sauer Center,32.0,-73.96592,-76.21088344473237,2.2449634447323774,within_b
0052,Golledge Hall,Tobler Museum,33.0,-44.84571,-147.02844706156867,102.18273706156867,within_b
0052,Snow Church,Batty House,41.0,-93.77505,-90.6470094165935,3.128040583406488,between
0052,Snow Church,Lynch Station,35.0,169.68599999999998,-79.44851915391442,110.8654808460856,between
0052,Snow Church,Harris Hall,39.0,-138.6509,-88.09346154480704,50.557438455192965,between
0052,Snow Church,Harvey House,37.0,-140.8988,-119.69295786010946,21.205842139890535,between
0052,Snow Church,Golledge Hall,36.0,140.5938,-125.84311454991945,93.56308545008056,within_b
0052,Snow Church,Sauer Center,40.0,-7.939858999999999,-0.27926235158265256,7.660596648417346,within_b
0052,Snow Church,Tobler Museum,38.0,19.68713,-63.692776166334035,83.37990616633404,within_b
0052,Sauer Center,Batty House,48.0,-71.98261,6.74450862234883,78.72711862234883,between
0052,Sauer Center,Lynch Station,44.0,-14.506979999999999,17.762054920259878,32.26903492025988,between
0052,Sauer Center,Harris Hall,42.0,-80.5596,4.240040563502457,84.79964056350246,between
0052,Sauer Center,Harvey House,47.0,-17.42173,-23.09134403283715,5.669614032837149,between
0052,Sauer Center,Golledge Hall,43.0,-53.62474,-51.85616181338526,1.7685781866147394,within_b
0052,Sauer Center,Snow Church,46.0,-85.88159,-89.63525725921562,3.753667259215618,within_b
0052,Sauer Center,Tobler Museum,45.0,9.157703,2.713388186025373,6.444314813974627,within_b
0052,Tobler Museum,Batty House,52.0,30.050179999999997,-171.00866513563608,158.9411548643639,between
0052,Tobler Museum,Lynch Station,50.0,49.32951,-156.23556254554433,154.43492745445567,between
0052,Tobler Museum,Harris Hall,55.0,81.8179,-173.2852643263075,104.89683567369252,between
0052,Tobler Museum,Harvey House,53.0,-170.7587,147.24819099679667,41.99310900320336,between
0052,Tobler Museum,Golledge Hall,49.0,89.12453000000001,67.30353066020724,21.820999339792763,within_b
0052,Tobler Museum,Snow Church,54.0,-11.131269999999999,38.782798085606366,49.91406808560637,within_b
0052,Tobler Museum,Sauer Center,51.0,31.587159999999997,-20.69981415519988,52.28697415519988,within_b
