participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
2076,Batty House,Lynch Station,4.0,-39.698879999999996,-47.32798389151449,7.629103891514497,within_a
2076,Batty House,Harris Hall,3.0,38.97077,37.52863730402907,1.4421326959709333,within_a
2076,Batty House,Harvey House,0.0,16.78107,93.19423765817854,76.41316765817854,within_a
2076,Batty House,Golledge Hall,1.0,50.75667,51.76768153806614,1.0110115380661426,between
2076,Batty House,Snow Church,6.0,95.01203000000001,48.19947553081968,46.81255446918033,between
2076,Batty House,Sauer Center,5.0,84.82221,30.331695097476896,54.4905149025231,between
2076,Batty House,Tobler Museum,2.0,75.78837,37.30802198129223,38.48034801870777,between
2076,Lynch Station,Batty House,14.0,134.2038,130.6542463331721,3.5495536668279044,within_a
2076,Lynch Station,Harris Hall,10.0,-19.84965,7.02170467090796,26.871354670907962,within_a
2076,Lynch Station,Harvey House,9.0,4.73549,48.195938013595914,43.460448013595915,within_a
2076,Lynch Station,Golledge Hall,8.0,-19.56936,-3.323863738061074,16.245496261938925,between
2076,Lynch Station,Snow Church,11.0,38.90538,-8.968174613078338,47.87355461307834,between
2076,Lynch Station,Sauer Center,15.0,-5.4954019999999995,-29.209033423777672,23.713631423777674,between
2076,Lynch Station,Tobler Museum,13.0,20.272679999999998,-17.950764420634226,38.22344442063422,between
2076,Harris Hall,Batty House,23.0,29.50163,83.35216568459656,53.85053568459656,within_a
2076,Harris Hall,Lynch Station,18.0,121.0094,114.56279427841682,6.4466057215831825,within_a
2076,Harris Hall,Harvey House,17.0,-146.9308,-2.146796903629346,144.78400309637067,within_a
2076,Harris Hall,Golledge Hall,16.0,-16.59814,-77.71082192465416,61.112681924654154,between
2076,Harris Hall,Snow Church,20.0,-59.11079,-84.72811220292517,25.617322202925173,between
2076,Harris Hall,Sauer Center,22.0,-35.99265,-110.65743363432559,74.66478363432559,between
2076,Harris Hall,Tobler Museum,21.0,-9.029067999999999,-99.95984558186653,90.93077758186654,between
2076,Harvey House,Batty House,30.0,-53.31137,-46.54689912218602,6.764470877813977,within_a
2076,Harvey House,Lynch Station,29.0,-27.980659999999997,-32.282464292919606,4.301804292919609,within_a
2076,Harvey House,Harris Hall,31.0,50.181999999999995,-4.196894849005793,54.37889484900579,within_a
2076,Harvey House,Golledge Hall,26.0,70.98959,64.95302540271734,6.036564597282663,between
2076,Harvey House,Snow Church,25.0,5.623785,66.19140237525872,60.56761737525872,between
2076,Harvey House,Sauer Center,24.0,42.41021,46.29205396301872,3.8818439630187243,between
2076,Harvey House,Tobler Museum,28.0,28.805359999999997,42.14615862727205,13.340798627272054,between
2076,Golledge Hall,Batty House,39.0,-139.4722,173.56946174631767,46.958338253682314,between
2076,Golledge Hall,Lynch Station,37.0,155.2482,-173.9683139144782,30.783486085521815,between
2076,Golledge Hall,Harris Hall,36.0,147.4367,176.2022806137976,28.765580613797596,between
2076,Golledge Hall,Harvey House,33.0,-146.2491,139.93093678256204,73.81996321743793,between
2076,Golledge Hall,Snow Church,34.0,-0.4817329000000001,1.2041344013640871,1.6858673013640872,within_b
2076,Golledge Hall,Sauer Center,35.0,-39.3875,-76.21088344473237,36.82338344473237,within_b
2076,Golledge Hall,Tobler Museum,32.0,-72.70671999999999,-147.02844706156867,74.32172706156868,within_b
2076,Snow Church,Batty House,41.0,-57.671119999999995,-90.6470094165935,32.97588941659351,between
2076,Snow Church,Lynch Station,47.0,12.70598,-79.44851915391442,92.15449915391441,between
2076,Snow Church,Harris Hall,46.0,-56.70255,-88.09346154480704,31.39091154480704,between
2076,Snow Church,Harvey House,44.0,-93.87639,-119.69295786010946,25.81656786010946,between
2076,Snow Church,Golledge Hall,45.0,-134.7803,-125.84311454991945,8.937185450080563,within_b
2076,Snow Church,Sauer Center,43.0,-86.07343,-0.27926235158265256,85.79416764841734,within_b
2076,Snow Church,Tobler Museum,42.0,-113.5895,-63.692776166334035,49.896723833665966,within_b
2076,Sauer Center,Batty House,52.0,-4.2643889999999995,6.74450862234883,11.00889762234883,between
2076,Sauer Center,Lynch Station,55.0,-3.967288,17.762054920259878,21.729342920259878,between
2076,Sauer Center,Harris Hall,48.0,-12.31352,4.240040563502457,16.553560563502458,between
2076,Sauer Center,Harvey House,49.0,8.74496,-23.09134403283715,31.83630403283715,between
2076,Sauer Center,Golledge Hall,51.0,-47.5035,-51.85616181338526,4.352661813385261,within_b
2076,Sauer Center,Snow Church,53.0,-85.72405,-89.63525725921562,3.9112072592156153,within_b
2076,Sauer Center,Tobler Museum,50.0,-30.210290000000004,2.713388186025373,32.92367818602538,within_b
2076,Tobler Museum,Batty House,56.0,-135.4931,-171.00866513563608,35.51556513563608,between
2076,Tobler Museum,Lynch Station,57.0,-111.22,-156.23556254554433,45.01556254554433,between
2076,Tobler Museum,Harris Hall,61.0,-6.525071,-173.2852643263075,166.7601933263075,between
2076,Tobler Museum,Harvey House,59.0,13.057160000000001,147.24819099679667,134.19103099679666,between
2076,Tobler Museum,Golledge Hall,60.0,79.29800999999999,67.30353066020724,11.994479339792747,within_b
2076,Tobler Museum,Snow Church,58.0,34.41395,38.782798085606366,4.368848085606366,within_b
2076,Tobler Museum,Sauer Center,63.0,3.8428769999999997,-20.69981415519988,24.542691155199883,within_b
2076,Batty House,Mountain Range,7.0,102.9903,,,other
2076,Lynch Station,Mountain Range,12.0,52.37901,,,other
2076,Harris Hall,Mountain Range,19.0,-12.6937,,,other
2076,Harvey House,Mountain Range,27.0,103.8583,,,other
2076,Golledge Hall,Mountain Range,38.0,-93.62038000000001,,,other
2076,Snow Church,Mountain Range,40.0,-101.3347,,,other
2076,Sauer Center,Mountain Range,54.0,16.379620000000003,,,other
2076,Tobler Museum,Mountain Range,62.0,149.1084,,,other
