participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
2052,Batty House,Lynch Station,6.0,-40.72462,-47.32798389151449,6.6033638915144905,within_a
2052,Batty House,Harris Hall,2.0,15.953489999999999,37.52863730402907,21.57514730402907,within_a
2052,Batty House,Harvey House,0.0,97.66167,93.19423765817854,4.467432341821464,within_a
2052,Batty House,Golledge Hall,7.0,45.81483,51.76768153806614,5.952851538066142,between
2052,Batty House,Snow Church,4.0,66.5398,48.19947553081968,18.340324469180317,between
2052,Batty House,Sauer Center,5.0,10.37963,30.331695097476896,19.952065097476897,between
2052,Batty House,Tobler Museum,1.0,50.30307,37.30802198129223,12.99504801870777,between
2052,Lynch Station,Batty House,11.0,134.2999,130.6542463331721,3.6456536668279114,within_a
2052,Lynch Station,Harris Hall,8.0,-13.760929999999998,7.02170467090796,20.78263467090796,within_a
2052,Lynch Station,Harvey House,10.0,50.71965,48.195938013595914,2.523711986404088,within_a
2052,Lynch Station,Golledge Hall,12.0,22.83134,-3.323863738061074,26.155203738061076,between
2052,Lynch Station,Snow Church,15.0,22.04024,-8.968174613078338,31.008414613078337,between
2052,Lynch Station,Sauer Center,9.0,25.531670000000002,-29.209033423777672,54.740703423777674,between
2052,Lynch Station,Tobler Museum,13.0,45.1249,-17.950764420634226,63.075664420634226,between
2052,Harris Hall,Batty House,20.0,116.9733,83.35216568459656,33.62113431540344,within_a
2052,Harris Hall,Lynch Station,23.0,119.6908,114.56279427841682,5.128005721583179,within_a
2052,Harris Hall,Harvey House,19.0,-10.38211,-2.146796903629346,8.235313096370655,within_a
2052,Harris Hall,Golledge Hall,21.0,-91.29057,-77.71082192465416,13.579748075345847,between
2052,Harris Hall,Snow Church,18.0,-10.7132,-84.72811220292517,74.01491220292517,between
2052,Harris Hall,Sauer Center,17.0,-43.306670000000004,-110.65743363432559,67.35076363432557,between
2052,Harris Hall,Tobler Museum,16.0,-106.3499,-99.95984558186653,6.390054418133474,between
2052,Harvey House,Batty House,29.0,-12.916039999999999,-46.54689912218602,33.630859122186024,within_a
2052,Harvey House,Lynch Station,24.0,16.07563,-32.282464292919606,48.3580942929196,within_a
2052,Harvey House,Harris Hall,30.0,16.34729,-4.196894849005793,20.544184849005795,within_a
2052,Harvey House,Golledge Hall,26.0,55.015859999999996,64.95302540271734,9.937165402717348,between
2052,Harvey House,Snow Church,28.0,81.57177,66.19140237525872,15.380367624741282,between
2052,Harvey House,Sauer Center,25.0,103.5972,46.29205396301872,57.30514603698128,between
2052,Harvey House,Tobler Museum,27.0,36.70417,42.14615862727205,5.441988627272053,between
2052,Golledge Hall,Batty House,38.0,160.0003,173.56946174631767,13.569161746317661,between
2052,Golledge Hall,Lynch Station,34.0,153.89700000000002,-173.9683139144782,32.13468608552182,between
2052,Golledge Hall,Harris Hall,35.0,-172.9617,176.2022806137976,10.836019386202395,between
2052,Golledge Hall,Harvey House,36.0,160.2565,139.93093678256204,20.325563217437946,between
2052,Golledge Hall,Snow Church,39.0,-2.68737,1.2041344013640871,3.891504401364087,within_b
2052,Golledge Hall,Sauer Center,32.0,-73.95119,-76.21088344473237,2.2596934447323775,within_b
2052,Golledge Hall,Tobler Museum,37.0,-133.6401,-147.02844706156867,13.38834706156868,within_b
2052,Snow Church,Batty House,40.0,-102.4884,-90.6470094165935,11.841390583406493,between
2052,Snow Church,Lynch Station,45.0,-101.3611,-79.44851915391442,21.912580846085575,between
2052,Snow Church,Harris Hall,41.0,-82.45631999999999,-88.09346154480704,5.637141544807051,between
2052,Snow Church,Harvey House,42.0,-166.5431,-119.69295786010946,46.85014213989055,between
2052,Snow Church,Golledge Hall,47.0,-125.6355,-125.84311454991945,0.20761454991945527,within_b
2052,Snow Church,Sauer Center,44.0,2.183999,-0.27926235158265256,2.4632613515826525,within_b
2052,Snow Church,Tobler Museum,46.0,-57.82671,-63.692776166334035,5.866066166334036,within_b
2052,Sauer Center,Batty House,49.0,-16.88691,6.74450862234883,23.631418622348832,between
2052,Sauer Center,Lynch Station,51.0,-24.17952,17.762054920259878,41.94157492025988,between
2052,Sauer Center,Harris Hall,55.0,-12.36695,4.240040563502457,16.606990563502457,between
2052,Sauer Center,Harvey House,52.0,-68.83448,-23.09134403283715,45.74313596716285,between
2052,Sauer Center,Golledge Hall,50.0,-45.100770000000004,-51.85616181338526,6.755391813385259,within_b
2052,Sauer Center,Snow Church,48.0,-91.4017,-89.63525725921562,1.7664427407843846,within_b
2052,Sauer Center,Tobler Museum,53.0,6.715364999999999,2.713388186025373,4.001976813974626,within_b
2052,Tobler Museum,Batty House,60.0,124.0161,-171.00866513563608,64.97523486436393,between
2052,Tobler Museum,Lynch Station,61.0,127.5173,-156.23556254554433,76.2471374544557,between
2052,Tobler Museum,Harris Hall,59.0,145.1679,-173.2852643263075,41.5468356736925,between
2052,Tobler Museum,Harvey House,57.0,100.1016,147.24819099679667,47.14659099679666,between
2052,Tobler Museum,Golledge Hall,63.0,85.49847,67.30353066020724,18.194939339792754,within_b
2052,Tobler Museum,Snow Church,58.0,30.432440000000003,38.782798085606366,8.350358085606363,within_b
2052,Tobler Museum,Sauer Center,62.0,6.128647,-20.69981415519988,26.828461155199882,within_b
2052,Batty House,Mountain Range,3.0,0.0,,,other
2052,Lynch Station,Mountain Range,14.0,-59.03488,,,other
2052,Harris Hall,Mountain Range,22.0,145.4561,,,other
2052,Harvey House,Mountain Range,31.0,48.957029999999996,,,other
2052,Golledge Hall,Mountain Range,33.0,-97.00846,,,other
2052,Snow Church,Mountain Range,43.0,-171.2177,,,other
2052,Sauer Center,Mountain Range,54.0,40.512409999999996,,,other
2052,Tobler Museum,Mountain Range,56.0,7.71368,,,other
