"participant","Overall_r","Overall_rsquared","Overall_angle","Overall_x_scale","Overall_y_scale","Overall_distortion_index","Batty_r","Batty_rsquared","Batty_angle","Batty_x_scale","Batty_y_scale","Batty_distortion_index","Golledge_r","Golledge_rsquared","Golledge_angle","Golledge_x_scale","Golledge_y_scale","Golledge_distortion_index"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.703543148682178,0.494972962057633,171.512959248861,0.705942086358904,0.705942086358904,0.505027037942366,0.914840576167995,0.836933279803389,141.920500152743,1.49558303793616,1.49558303793616,0.163066720196611,0.591293152967903,0.349627592746724,264.879252556075,0.759916578870902,0.759916578870902,0.650372407253275
"5",0.909253533021061,0.826741987311282,-42.5540670099341,0.79918884685187,0.79918884685187,0.173258012688718,0.975902245947197,0.952385193644783,-40.8379938645012,1.21333317584289,1.21333317584289,0.0476148063552169,0.81958192559679,0.671714532764942,-56.327676845955,1.0437621003317,1.0437621003317,0.328285467235058
"6",0.560191637117514,0.3138146702964,5.04547147571501,0.505008961272741,0.505008961272741,0.6861853297036,0.745855474010374,0.556300388111239,-5.34948100925376,1.20092472250588,1.20092472250588,0.44369961188876,0.770540390293348,0.593732493073425,68.9451854173072,1.12078144825792,1.12078144825792,0.406267506926574
"7",0.630528178156832,0.397565783449774,-53.0414897708737,0.666314652493124,0.666314652493124,0.602434216550226,0.902392556313525,0.814312325690059,-28.6896532839053,1.75326141024696,1.75326141024696,0.185687674309941,0.77254810507636,0.596830574657075,-29.6917050251572,1.16189446035769,1.16189446035769,0.403169425342925
"8",0.938361946634275,0.880523142891267,-30.8492973931805,0.876031726559232,0.876031726559232,0.119476857108734,0.970314020851673,0.941509299061341,-33.5426788112201,1.10490752345223,1.10490752345223,0.0584907009386589,0.836581184021963,0.699868077459589,-41.2095043066959,1.12968431540619,1.12968431540619,0.300131922540411
"9",0.77530251052946,0.601093982833283,-52.9582235295558,0.692458508283497,0.692458508283497,0.398906017166717,0.920963802812572,0.848174326090994,-41.678441558521,1.34618735880267,1.34618735880267,0.151825673909006,0.917746868067706,0.842259313848084,-10.3763950160189,1.20706364204377,1.20706364204377,0.157740686151915
"2007",0.282215513955698,0.0796455963172785,126.377709802674,0.245398007318334,0.245398007318334,0.920354403682721,0.96055941907281,0.922674397569495,107.423827668001,1.14427000673997,1.14427000673997,0.0773256024305053,0.938644828659375,0.881054114368988,-40.5714340739219,1.77297500224307,1.77297500224307,0.118945885631012
"2008",0.850681056557148,0.723658259985186,-42.9689469236222,0.869455123577673,0.869455123577673,0.276341740014813,0.974963542879817,0.950553909944764,-33.9957746634865,1.50961692697029,1.50961692697029,0.0494460900552354,0.788041786055695,0.62100985656985,-32.2816517153712,1.28639749942865,1.28639749942865,0.37899014343015
"2011",0.685086240144881,0.469343156435849,214.519640280629,0.615022150484639,0.615022150484639,0.53065684356415,0.522185598575932,0.272677799360105,214.158256841338,0.428666362336248,0.428666362336248,0.727322200639895,0.952995388372515,0.908200210259281,-62.4323179250837,1.47630090209029,1.47630090209029,0.0917997897407189
"2012",0.86722620580645,0.752081292037452,171.456506122322,0.875244015978031,0.875244015978031,0.247918707962548,0.884326121870518,0.782032689822551,148.764951466776,1.36430708192498,1.36430708192498,0.217967310177449,0.961832904146361,0.925122535498623,203.755047213815,1.17019328093914,1.17019328093914,0.0748774645013763
"2013",0.680750800678306,0.463421652624154,236.282594502035,0.68185630208272,0.68185630208272,0.536578347375846,0.484404296018523,0.234647522001201,108.135858120177,0.410516234452412,0.410516234452412,0.765352477998799,0.947239647348784,0.897262949509448,268.625405047069,1.82565181454123,1.82565181454123,0.102737050490552
"2014",0.570029351658881,0.324933461752645,11.9180235347569,0.518114673035463,0.518114673035463,0.675066538247356,0.716338072126924,0.513140233578518,230.379855032967,0.341414760146041,0.341414760146041,0.486859766421482,0.75492010638062,0.569904367017727,142.739153028169,0.994296460526519,0.994296460526519,0.430095632982273
"2014",0.934053100021909,0.872455193660539,193.25469712407,0.550668722362745,0.550668722362745,0.12754480633946,0.811765420519976,0.658963097951973,200.669630888057,0.369926488110842,0.369926488110842,0.341036902048027,0.730219808594302,0.533220968863499,184.853608605174,0.434261122090397,0.434261122090397,0.466779031136501
"2015",0.450891724284255,0.203303347028029,230.595638773144,0.375876164250884,0.375876164250884,0.796696652971971,0.64278223830679,0.413169005882687,150.230035032975,0.583239301504633,0.583239301504633,0.586830994117313,0.818276387711817,0.669576246686701,261.880767955135,1.71406805024085,1.71406805024085,0.330423753313299
